,주차장관리번호,주차장명,주차장구분,주차장유형,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도_x,데이터기준일자,제공기관코드,제공기관명,Unnamed: 33,도로명주소,행정구역
10,115-2-000016,화곡8-1,공영,노외,53,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2608-1572,37.5384651,126.8466395,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 강서구 초록마을로22길 90-1,화곡제8동
11,115-2-000017,화곡8-2,공영,노외,110,5,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,50,5.0,50.0,8.0,2000.0,50000.0,현금+신용카드,"국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-1571,37.5376472,126.8481274,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 강서구 초록마을로30길 21-9,화곡제8동
12,115-1-000019,화곡1동 달구지길,공영,노상,29,2,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,250,5.0,250.0,8.0,10000.0,120000.0,"현금, 신용카드","국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-9113,37.532585,126.836756,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 양천구 월정로 153-1,신월1동
13,115-1-000020,"화곡2,4,8동 배다리동길",공영,노상,345,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,200,5.0,200.0,8.0,10000.0,120000.0,"현금, 신용카드","국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-9113,37.528776,126.849703,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 강서구 국회대로7길 201,화곡제8동
14,115-1-000021,화곡6동 방죽길,공영,노상,64,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,250,5.0,250.0,8.0,10000.0,120000.0,"현금, 신용카드","국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-9113,37.554508,126.853308,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 강서구 공항대로46길 17,화곡제6동
15,115-1-000025,가양3동 황금내공원길,공영,노상,80,4,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,100,5.0,100.0,8.0,5000.0,50000.0,"현금, 신용카드","국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-9113,37.562979,126.861911,2019-03-28,3150000,서울특별시 강서구,-1.0,서울특별시 강서구 허준로 209,가양제3동
16,120-1-000013,낙성대제1공영주차장,공영,노상,23,3,요일제,평일+토요일,09:00,19:00,09:00,16:00,00:00,00:00,유료,5,150,-1.0,-1.0,-1.0,-1.0,80000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2678,37.477589,126.958951,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 봉천로62길 7,낙성대동
17,120-1-000012,낙성대제2공영주차장,공영,노상,26,3,요일제,평일+토요일,09:00,19:00,09:00,16:00,00:00,00:00,유료,1440,80000,-1.0,-1.0,-1.0,-1.0,80000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2678,37.474496,126.959844,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 낙성대로3길 20,낙성대동
18,120-2-000007,난우중공영주차장,공영,노외,71,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,1440,50000,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.46668070000001,126.9228102,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 난곡로16길 32,난곡동
19,120-2-000011,남부초공영주차장,공영,노외,135,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,150,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.48504129999999,126.9221169,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 남부순환로163길 14,신사동
20,120-1-000020,남현동제1공영주차장,공영,노상,65,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,250,-1.0,-1.0,-1.0,-1.0,40000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.4756901,126.979251,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 남현1길 38-10,남현동
21,120-2-000008,미성동제4공영주차장,공영,노외,79,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,1440,50000,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.4762929,126.91992150000002,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 난우10가길 2,미성동
22,120-2-000004,보라매제1공영주차장,공영,노외,133,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,50,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.4885084,126.9345192,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 봉천로21길 38,보라매동
23,120-1-000014,삼성동제1공영주차장,공영,노상,105,3,요일제,평일+토요일,09:00,19:00,09:00,16:00,00:00,00:00,유료,5,150,-1.0,-1.0,-1.0,-1.0,80000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2678,37.4684434508,126.93101269200001,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 원신길 96-12,삼성동
24,120-1-000016,서원동제1공영주차장,공영,노상,34,2,요일제,평일+토요일+공휴일,11:00,21:00,11:00,21:00,11:00,20:00,유료,5,250,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2678,37.482217,126.928912,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 신원로 35,서원동
25,120-2-000009,신림동제1공영주차장,공영,노외,191,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,250,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.487364,126.9233928,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 관천로 98,신림동
26,120-1-000017,신림동제2공영주차장,공영,노상,33,2,요일제,평일+토요일+공휴일,11:00,21:00,11:00,21:00,11:00,20:00,유료,5,250,-1.0,-1.0,-1.0,-1.0,110000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2678,37.484771,126.925676,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 관천로 62,신림동
27,120-2-000005,신사동제1공영주차장,공영,노외,41,5,요일제,평일+토요일+공휴일,09:00,19:00,09:00,16:00,00:00,00:00,유료,5,50,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.4843973,126.915444,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 남부순환로153길 51,신사동
28,120-1-000019,신원시장공영주차장,공영,노상,51,2,요일제,평일+토요일+공휴일,11:00,21:00,11:00,20:00,11:00,20:00,유료,5,250,-1.0,-1.0,-1.0,-1.0,100000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.4822463,126.92756740000002,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 관천로 29,신원동
29,120-2-000003,원신공영주차장,공영,노외,174,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,50,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.470107,126.929213,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 양지길 63,삼성동
30,120-1-000015,조원동제2공영주차장,공영,노상,55,2,요일제,평일+토요일,09:00,19:00,09:00,16:00,00:00,00:00,유료,5,250,-1.0,-1.0,-1.0,-1.0,120000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2678,37.483543,126.902978,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 조원로 8,조원동
31,120-2-000001,행운동제1공영주차장,공영,노외,79,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,150,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2678,37.4797436,126.960471,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 행운4길 21,행운동
32,120-2-000021,민방위교육장공영주차장,공영,노외,42,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,0,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2686,37.4693484,126.9112682,2019-05-27,3200000,서울특별시 관악구,-1.0,서울특별시 관악구 문성로16다길 135,미성동
33,121-1-000001,반포복개천,공영,노상,41,1,미시행,평일+토요일,09:00,21:00,09:00,21:00,00:00,00:00,유료,10,800,10.0,800.0,-1.0,-1.0,-1.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.503961,127.010182,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 서초중앙로 253,반포4동
34,121-1-000002,방배복개도로 제1지역,공영,노상,152,2,미시행,평일+토요일,10:00,23:00,10:00,23:00,00:00,00:00,유료,10,500,10.0,500.0,-1.0,-1.0,-1.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.477835,126.982669,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 방배천로 12,방배2동
35,121-1-000004,방배역,공영,노상,10,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,00:00,21:00,유료,10,500,10.0,500.0,-1.0,-1.0,-1.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.48220300000001,126.997031,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 방배로 87,방배1동
36,121-1-000006,방배사이길 공영주차장,공영,노상,6,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,500,10.0,500.0,-1.0,-1.0,-1.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.495604,126.988703,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 방배로 254,방배본동
37,121-2-000001,교대역동측,공영,노외,29,1,미시행,평일+토요일+공휴일,09:00,23:00,09:00,23:00,00:00,23:00,유료,10,800,10.0,800.0,-1.0,-1.0,250000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.4939238,127.0159712,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 서초대로 314,서초1동
38,121-2-000002,시민의숲동측,공영,노외,148,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,00:00,21:00,유료,10,500,10.0,500.0,-1.0,-1.0,140000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7290,37.472718,127.038203,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 마방로2길 20,양재2동
39,121-2-000003,청계산근린광장,공영,노외,89,4,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,00:00,21:00,유료,10,200,10.0,200.0,-1.0,-1.0,40000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7290,37.446471,127.056126,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 청계산로 218,양재2동
40,121-2-000004,반포서래,공영,노외,8,3,미시행,평일+토요일,09:00,21:00,09:00,21:00,00:00,21:00,유료,10,300,10.0,300.0,-1.0,-1.0,90000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7287,37.4981205,126.9978089,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 사평대로22길 31,반포4동
41,121-2-000005,청계산청룡,공영,노외,41,4,미시행,공휴일,05:00,19:00,05:00,19:00,00:00,19:00,유료,10,200,10.0,200.0,-1.0,-1.0,-1.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7290,37.44665300000001,127.059622,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 청룡마을길 16,내곡동
42,121-2-000008,양재주차빌딩,공영,노외,98,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10.0,300.0,-1.0,-1.0,120000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7290,37.4785659,127.041321,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 양재천로 125-10,양재1동
43,121-2-000009,구룡주차빌딩,공영,노외,107,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10.0,300.0,-1.0,-1.0,120000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7290,37.474112,127.045908,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 동산로19길 37,양재2동
44,121-2-000010,언구비 주차빌딩,공영,노외,58,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10.0,300.0,-1.0,-1.0,120000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7287,37.504727,127.020988,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 강남대로83길 55,반포1동
45,121-2-000011,미도아파트 앞 주차빌딩,공영,노외,181,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10.0,300.0,-1.0,-1.0,120000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7287,37.4999956,127.010444,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 서초중앙로31길 14-5,반포4동
46,121-2-000012,이수 주차빌딩,공영,노외,161,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10.0,300.0,-1.0,-1.0,120000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.4962412,126.9853886,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 방배중앙로 193,방배본동
47,121-2-000013,중앙로 공영 주차빌딩,공영,노외,50,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10.0,300.0,-1.0,-1.0,120000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.4821794,126.992055,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 방배중앙로 25,방배2동
48,121-2-000014,동산마을 공영주차장,공영,노외,121,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,500,10.0,500.0,-1.0,-1.0,180000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7290,37.470008,127.044326,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 강남대로8길 77,양재2동
49,121-2-000015,구룡공원 노외공영주차장,공영,노외,132,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10.0,300.0,-1.0,-1.0,120000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7290,37.4715926,127.0484805,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 논현로5길 29,양재2동
50,121-2-000017,서래마을구립 공영주차장,공영,노외,78,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10.0,300.0,-1.0,-1.0,120000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7287,37.497137,126.9986579,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 서래로4길 5,반포4동
51,121-2-000018,언남문화체육 센터공영주차장,공영,노외,190,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10.0,300.0,-1.0,-1.0,120000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7290,37.4724059,127.0444116,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 동산로 55,양재2동
52,121-2-000019,무궁화 노외공영주차장,공영,노외,69,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,500,10.0,500.0,-1.0,-1.0,180000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.4922544,127.0167575,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 서초대로54길 45,서초1동
53,121-2-000020,잠원동 방음언덕형 공영주차장,공영,노외,94,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10.0,300.0,-1.0,-1.0,120000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7287,37.515762,127.016135,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 강남대로101안길 44,잠원동
54,121-2-000021,서초구립 반포2동,공영,노외,165,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10.0,300.0,-1.0,-1.0,120000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7287,37.5041685,126.9953925,2019-06-26,3210000,서울특별시 서초구,-1.0,서울특별시 서초구 신반포로15길 6,반포2동
