기간	자치구	성별	연령	합계	재학	재학	재학	재학	재학	재학	재학	졸업	졸업	졸업	졸업	졸업	졸업	졸업	중퇴	중퇴	중퇴	중퇴	중퇴	중퇴	중퇴	수료	수료	수료	수료	안받았음(미취학포함)
2015	서울시	남자	25~29세	357,206	82,427	-	15	40	6,719	57,477	18,176	247,582	9	988	41,564	52,606	144,708	7,707	21,373	-	209	1,380	9,378	10,105	301	5,620	865	3,158	1,597	204
2015	서울시	남자	30~34세	413,399	17,840	-	14	13	1,684	5,978	10,151	362,259	7	1,714	61,837	64,588	206,677	27,436	25,079	-	523	2,288	9,517	11,785	966	8,004	882	2,159	4,963	217
2015	서울시	남자	35~39세	384,774	8,821	-	3	17	771	2,232	5,798	344,843	12	2,468	73,377	56,962	174,509	37,515	22,947	-	622	2,269	7,615	10,772	1,669	7,911	962	1,224	5,725	252
2015	서울시	남자	40~44세	403,286	6,153	-	3	19	586	1,415	4,130	370,239	350	5,648	112,191	51,617	153,084	47,349	17,056	147	1,087	2,766	4,430	6,502	2,124	9,543	1,141	1,119	7,283	295
2015	서울시	남자	45~49세	387,743	3,859	-	11	33	387	965	2,463	360,636	2,930	11,047	127,678	37,521	138,792	42,668	14,470	259	1,216	2,733	3,414	5,435	1,413	8,428	975	1,045	6,408	350
2015	서울시	남자	50~54세	372,490	1,917	-	2	18	9	174	1,714	346,676	9,653	23,874	132,897	26,933	116,305	37,014	16,836	784	2,165	3,354	3,368	5,931	1,234	6,654	682	954	5,018	407
2015	서울시	남자	55~59세	356,721	1,283	-	5	27	4	218	1,029	332,482	19,305	38,516	135,418	21,061	86,225	31,957	16,763	1,528	3,453	4,246	2,325	4,441	770	5,664	700	667	4,297	529
2015	서울시	남자	60~64세	264,516	357	-	5	22	5	39	286	245,073	23,186	38,011	99,730	9,964	54,260	19,922	13,186	1,562	3,235	3,133	1,573	3,229	454	4,204	539	669	2,996	1,696
2015	서울시	남자	65~69세	205,890	108	4	2	6	-	36	60	187,767	25,368	33,157	72,082	5,372	40,277	11,511	12,307	1,565	2,754	2,866	1,313	3,595	214	3,034	471	726	1,837	2,674
2015	서울시	남자	70~74세	159,007	36	2	-	-	1	5	28	141,111	29,712	26,439	46,837	2,873	27,764	7,486	11,942	2,462	2,700	2,438	994	3,219	129	1,799	290	363	1,146	4,119
2015	서울시	남자	75~79세	98,952	-	-	-	-	-	-	-	85,258	20,758	13,904	25,273	1,525	19,267	4,531	8,521	2,044	1,766	1,486	691	2,492	42	1,044	118	238	688	4,129
2015	서울시	남자	80~84세	44,602	-	-	-	-	-	-	-	36,531	8,799	5,517	10,640	858	8,717	2,000	3,856	907	877	701	256	1,085	30	559	86	114	359	3,656
2015	서울시	남자	85세 이상	22,070	-	-	-	-	-	-	-	17,374	5,203	3,052	3,804	683	3,723	909	1,488	384	333	140	135	496	-	235	25	48	162	2,973
2015	서울시	여자	계	4,640,739	800,926	216,548	127,436	148,025	53,369	211,356	44,192	3,505,307	320,918	301,344	1,150,588	459,576	1,081,065	191,816	151,026	36,521	20,676	20,249	28,830	37,532	7,218	50,998	8,884	11,205	30,909	132,482
2015	서울시	여자	6~9세	142,760	113,811	113,811	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28,949
2015	서울시	여자	10~14세	193,262	193,146	102,725	90,421	-	-	-	-	-	-	-	-	-	-	-	92	-	92	-	-	-	-	-	-	-	-	24
2015	서울시	여자	15~19세	265,010	241,208	-	36,890	147,656	18,972	37,690	-	22,014	-	499	21,515	-	-	-	1,764	-	292	1,122	236	114	-	-	-	-	-	24
2015	서울시	여자	20~24세	341,074	182,914	-	46	127	28,453	148,051	6,237	150,135	2	776	40,344	55,792	52,728	493	6,278	-	150	757	3,229	2,108	34	1,570	602	968	-	177
2015	서울시	여자	25~29세	363,958	32,378	-	7	20	2,128	13,839	16,384	315,887	-	693	33,015	72,509	193,002	16,668	9,771	-	211	722	4,357	3,895	586	5,785	786	2,306	2,693	137
2015	서울시	여자	30~34세	408,085	13,878	-	8	15	1,228	3,326	9,301	372,647	-	1,349	54,943	83,777	195,310	37,268	11,774	-	209	988	4,672	4,854	1,051	9,599	1,041	1,793	6,765	187
2015	서울시	여자	35~39세	380,613	8,544	-	5	9	920	2,292	5,318	350,528	-	2,006	77,904	74,454	157,608	38,556	12,074	-	249	1,050	4,093	4,782	1,900	9,298	1,106	1,313	6,879	169
2015	서울시	여자	40~44세	402,816	6,632	-	11	29	862	2,669	3,061	377,619	409	5,243	138,358	62,809	137,359	33,441	10,454	72	412	1,503	2,986	3,976	1,505	7,926	1,428	1,103	5,395	185
2015	서울시	여자	45~49세	400,092	5,131	-	7	26	776	2,227	2,095	378,348	4,320	16,898	174,505	42,001	116,514	24,110	10,386	332	782	1,844	2,747	3,824	857	6,024	1,237	1,099	3,688	203
2015	서울시	여자	50~54세	391,611	1,868	-	10	35	13	723	1,087	373,562	16,620	39,895	182,934	27,836	88,220	18,057	11,889	1,166	1,756	2,161	2,275	4,006	525	4,051	912	853	2,286	241
2015	서울시	여자	55~59세	389,563	1,027	-	10	59	4	479	475	370,963	36,810	64,848	178,150	19,252	59,670	12,233	13,924	2,337	3,297	2,971	1,810	3,129	380	3,132	796	694	1,642	517
2015	서울시	여자	60~64세	291,995	304	-	16	34	8	32	214	273,696	49,329	61,677	110,420	10,379	36,177	5,714	12,469	3,287	3,402	2,297	984	2,277	222	1,815	484	477	854	3,711
2015	서울시	여자	65~69세	228,429	74	12	5	15	4	18	20	204,609	58,852	47,967	67,256	5,396	22,338	2,800	13,270	5,505	3,222	1,994	737	1,739	73	926	306	265	355	9,550
2015	서울시	여자	70~74세	178,200	11	-	-	-	1	10	-	145,175	61,761	30,932	35,936	2,804	12,413	1,329	13,987	8,276	2,698	1,416	311	1,238	48	479	61	203	215	18,548
2015	서울시	여자	75~79세	126,972	-	-	-	-	-	-	-	91,611	47,249	17,142	19,111	1,365	6,003	741	12,370	8,215	2,310	762	159	902	22	228	41	76	111	22,763
2015	서울시	여자	80~84세	77,271	-	-	-	-	-	-	-	48,487	26,896	7,643	10,404	632	2,613	299	7,168	4,758	1,206	499	167	524	14	99	55	31	13	21,517
2015	서울시	여자	85세 이상	59,028	-	-	-	-	-	-	-	30,026	18,670	3,776	5,793	570	1,110	107	3,356	2,573	388	163	67	164	1	66	29	24	13	25,580
2015	종로구	합계	계	140,506	29,951	5,578	4,076	6,354	1,528	9,911	2,504	100,201	8,415	9,122	29,883	9,805	33,091	9,885	4,835	793	600	731	786	1,653	272	2,347	284	493	1,570	3,172
2015	종로구	합계	6~9세	3,492	2,867	2,867	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	625
2015	종로구	합계	10~14세	5,483	5,483	2,711	2,772	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2015	종로구	합계	15~19세	9,675	8,898	-	1,066	5,513	530	1,789	-	716	-	14	702	-	-	-	57	-	11	42	4	-	-	-	-	-	-	4
2015	종로구	합계	20~24세	11,732	8,067	-	227	830	781	6,011	218	3,368	1	30	1,303	1,038	996	-	246	-	12	29	89	111	5	42	10	32	-	9
2015	종로구	합계	25~29세	12,037	2,964	-	3	3	113	1,793	1,052	8,347	1	23	1,170	1,464	5,148	541	382	-	-	18	131	224	9	342	27	225	90	2
2015	종로구	합계	30~34세	10,784	723	-	2	2	34	139	546	9,492	-	60	1,501	1,554	5,166	1,211	332	-	-	38	134	138	22	237	33	18	186	-
2015	종로구	합계	35~39세	9,524	386	-	-	3	43	64	276	8,413	-	150	1,718	1,370	4,023	1,152	446	-	24	44	70	254	54	277	24	28	225	2
2015	종로구	합계	40~44세	11,756	206	-	2	1	23	55	125	10,720	8	418	3,188	1,398	4,138	1,570	391	7	27	105	65	128	59	433	52	55	326	6
2015	종로구	합계	45~49세	11,958	187	-	3	1	3	43	137	11,093	198	785	4,299	926	3,626	1,259	388	-	56	90	49	146	47	280	47	45	188	10
2015	종로구	합계	50~54세	12,053	84	-	-	-	1	13	70	11,215	482	1,255	4,202	710	3,142	1,424	446	27	48	76	107	142	46	299	32	36	231	9
2015	종로구	합계	55~59세	11,181	49	-	1	-	-	-	48	10,511	812	1,736	4,052	680	2,104	1,127	420	19	102	59	50	171	19	181	9	22	150	20
2015	종로구	합계	60~64세	8,547	29	-	-	-	-	2	27	8,030	1,126	1,544	2,930	239	1,601	590	281	24	74	66	46	63	8	102	27	6	69	105
2015	종로구	합계	65~69세	7,035	3	-	-	1	-	2	-	6,462	1,431	1,307	2,064	169	1,084	407	365	128	62	86	17	72	-	51	9	12	30	154
2015	종로구	합계	70~74세	6,344	5	-	-	-	-	-	5	5,437	1,909	989	1,353	110	833	243	355	164	74	36	19	59	3	56	6	9	41	491
2015	종로구	합계	75~79세	4,552	-	-	-	-	-	-	-	3,557	1,296	530	762	57	718	194	358	223	47	22	-	66	-	19	4	5	10	618
2015	종로구	합계	80~84세	2,532	-	-	-	-	-	-	-	1,756	690	187	386	56	326	111	301	158	63	19	5	56	-	20	4	-	16	455
2015	종로구	합계	85세 이상	1,821	-	-	-	-	-	-	-	1,084	461	94	253	34	186	56	67	43	-	1	-	23	-	8	-	-	8	662
2015	종로구	남자	계	69,115	16,501	2,970	2,244	3,886	802	5,313	1,286	47,752	2,776	4,075	14,692	4,222	16,552	5,435	2,709	149	336	473	482	1,080	189	1,327	147	280	900	826
2015	종로구	남자	6~9세	1,819	1,519	1,519	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	300
2015	종로구	남자	10~14세	2,910	2,910	1,451	1,459	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2015	종로구	남자	15~19세	5,075	4,656	-	550	3,052	239	815	-	379	-	14	365	-	-	-	36	-	4	28	4	-	-	-	-	-	-	4
2015	종로구	남자	20~24세	5,825	4,494	-	226	826	448	2,898	96	1,172	1	19	735	276	141	-	151	-	12	29	66	44	-	-	-	-	-	8
2015	종로구	남자	25~29세	6,251	2,080	-	1	3	71	1,425	580	3,678	1	16	646	640	2,225	150	279	-	-	18	71	181	9	212	15	169	28	2
2015	종로구	남자	30~34세	5,589	425	-	2	2	22	103	296	4,813	-	41	894	682	2,715	481	246	-	-	33	86	110	17	105	21	13	71	-
2015	종로구	남자	35~39세	4,685	133	-	-	1	7	28	97	4,160	-	85	986	598	2,022	469	273	-	19	13	25	181	35	119	4	18	97	-
2015	종로구	남자	40~44세	5,805	83	-	2	-	12	18	51	5,236	1	226	1,420	676	2,075	838	245	1	27	66	44	69	38	240	29	10	201	1
2015	종로구	남자	45~49세	5,819	105	-	3	1	3	17	81	5,325	94	278	2,031	407	1,832	683	241	-	37	59	24	90	31	146	22	22	102	2
2015	종로구	남자	50~54세	6,069	44	-	-	-	-	5	39	5,545	198	535	1,922	340	1,652	898	274	8	25	45	67	97	32	200	16	22	162	6
2015	종로구	남자	55~59세	5,501	35	-	1	-	-	-	34	5,096	354	781	1,763	313	1,116	769	253	-	53	37	36	108	19	102	9	15	78	15
2015	종로구	남자	60~64세	4,194	9	-	-	-	-	2	7	3,912	338	725	1,455	98	874	422	163	9	34	43	32	37	8	86	16	6	64	24
2015	종로구	남자	65~69세	3,225	3	-	-	1	-	2	-	2,991	418	578	1,078	80	581	256	150	16	34	51	11	38	-	39	9	-	30	42
2015	종로구	남자	70~74세	2,857	5	-	-	-	-	-	5	2,556	682	419	720	60	523	152	156	35	46	22	11	42	-	52	6	5	41	88
2015	종로구	남자	75~79세	1,951	-	-	-	-	-	-	-	1,717	395	261	395	12	470	184	106	38	20	10	-	38	-	4	-	-	4	124
2015	종로구	남자	80~84세	964	-	-	-	-	-	-	-	754	175	64	203	31	193	88	98	24	25	18	5	26	-	14	-	-	14	98
2015	종로구	남자	85세 이상	576	-	-	-	-	-	-	-	418	119	33	79	9	133	45	38	18	-	1	-	19	-	8	-	-	8	112
2015	종로구	여자	계	71,391	13,450	2,608	1,832	2,468	726	4,598	1,218	52,449	5,639	5,047	15,191	5,583	16,539	4,450	2,126	644	264	258	304	573	83	1,020	137	213	670	2,346
2015	종로구	여자	6~9세	1,673	1,348	1,348	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	325
2015	종로구	여자	10~14세	2,573	2,573	1,260	1,313	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2015	종로구	여자	15~19세	4,600	4,242	-	516	2,461	291	974	-	337	-	-	337	-	-	-	21	-	7	14	-	-	-	-	-	-	-	-
2015	종로구	여자	20~24세	5,907	3,573	-	1	4	333	3,113	122	2,196	-	11	568	762	855	-	95	-	-	-	23	67	5	42	10	32	-	1
2015	종로구	여자	25~29세	5,786	884	-	2	-	42	368	472	4,669	-	7	524	824	2,923	391	103	-	-	-	60	43	-	130	12	56	62	-
2015	종로구	여자	30~34세	5,195	298	-	-	-	12	36	250	4,679	-	19	607	872	2,451	730	86	-	-	5	48	28	5	132	12	5	115	-
2015	종로구	여자	35~39세	4,839	253	-	-	2	36	36	179	4,253	-	65	732	772	2,001	683	173	-	5	31	45	73	19	158	20	10	128	2
2015	종로구	여자	40~44세	5,951	123	-	-	1	11	37	74	5,484	7	192	1,768	722	2,063	732	146	6	-	39	21	59	21	193	23	45	125	5
2015	종로구	여자	45~49세	6,139	82	-	-	-	-	26	56	5,768	104	507	2,268	519	1,794	576	147	-	19	31	25	56	16	134	25	23	86	8
2015	종로구	여자	50~54세	5,984	40	-	-	-	1	8	31	5,670	284	720	2,280	370	1,490	526	172	19	23	31	40	45	14	99	16	14	69	3
2015	종로구	여자	55~59세	5,680	14	-	-	-	-	-	14	5,415	458	955	2,289	367	988	358	167	19	49	22	14	63	-	79	-	7	72	5
2015	종로구	여자	60~64세	4,353	20	-	-	-	-	-	20	4,118	788	819	1,475	141	727	168	118	15	40	23	14	26	-	16	11	-	5	81
2015	종로구	여자	65~69세	3,810	-	-	-	-	-	-	-	3,471	1,013	729	986	89	503	151	215	112	28	35	6	34	-	12	-	12	-	112
2015	종로구	여자	70~74세	3,487	-	-	-	-	-	-	-	2,881	1,227	570	633	50	310	91	199	129	28	14	8	17	3	4	-	4	-	403
2015	종로구	여자	75~79세	2,601	-	-	-	-	-	-	-	1,840	901	269	367	45	248	10	252	185	27	12	-	28	-	15	4	5	6	494
2015	종로구	여자	80~84세	1,568	-	-	-	-	-	-	-	1,002	515	123	183	25	133	23	203	134	38	1	-	30	-	6	4	-	2	357
2015	종로구	여자	85세 이상	1,245	-	-	-	-	-	-	-	666	342	61	174	25	53	11	29	25	-	-	-	4	-	-	-	-	-	550
2015	중구	합계	계	112,574	18,871	4,045	2,481	4,039	1,305	5,859	1,142	85,392	7,259	8,710	29,608	9,272	25,416	5,127	4,165	764	585	717	807	1,130	162	1,240	177	286	777	2,906
2015	중구	합계	6~9세	2,736	2,215	2,215	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	521
2015	중구	합계	10~14세	3,445	3,445	1,828	1,617	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2015	중구	합계	15~19세	5,817	5,278	-	702	3,298	431	847	-	499	-	6	493	-	-	-	40	-	10	27	-	3	-	-	-	-	-	-
2015	중구	합계	20~24세	8,212	5,281	-	156	655	709	3,647	114	2,745	1	25	1,195	805	706	13	166	-	-	17	109	40	-	18	9	9	-	2
2015	중구	합계	25~29세	9,271	1,446	-	-	-	93	981	372	7,346	-	29	1,285	1,616	4,132	284	349	-	3	21	136	189	-	128	9	85	34	2
2015	중구	합계	30~34세	10,396	446	-	-	4	35	114	293	9,394	-	65	1,700	1,773	5,002	854	363	-	10	57	118	164	14	178	16	29	133	15
2015	중구	합계	35~39세	9,183	173	-	1	3	5	32	132	8,430	1	86	2,098	1,448	3,864	933	373	-	29	42	123	161	18	206	39	20	147	1
2015	중구	합계	40~44세	9,257	187	-	1	13	18	64	91	8,593	22	335	3,326	1,182	2,922	806	323	5	46	81	62	105	24	153	13	23	117	1
2015	중구	합계	45~49세	9,007	166	-	2	17	10	83	54	8,378	172	750	3,839	811	2,286	520	287	12	39	71	67	61	37	163	42	23	98	13
2015	중구	합계	50~54세	9,630	74	-	-	16	1	21	36	9,094	495	1,206	4,388	538	1,949	518	348	19	69	69	74	98	19	103	22	34	47	11
2015	중구	합계	55~59세	10,028	97	-	-	16	-	38	43	9,389	789	1,792	4,040	546	1,690	532	399	38	107	103	48	71	32	115	13	17	85	28
2015	중구	합계	60~64세	7,506	32	-	2	9	3	12	6	7,052	973	1,464	3,024	219	1,104	268	227	49	56	61	17	38	6	61	-	5	56	134
2015	중구	합계	65~69세	6,041	21	2	-	8	-	10	1	5,377	1,255	1,263	1,867	118	717	157	373	151	73	71	15	51	12	58	12	18	28	212
2015	중구	합계	70~74세	5,041	10	-	-	-	-	10	-	4,170	1,475	879	1,099	130	475	112	367	150	55	68	5	89	-	38	-	15	23	456
2015	중구	합계	75~79세	3,636	-	-	-	-	-	-	-	2,811	1,073	489	748	69	357	75	314	193	68	6	17	30	-	8	-	7	1	503
2015	중구	합계	80~84세	1,989	-	-	-	-	-	-	-	1,270	583	214	292	13	123	45	182	110	17	9	16	30	-	10	2	1	7	527
2015	중구	합계	85세 이상	1,379	-	-	-	-	-	-	-	844	420	107	214	4	89	10	54	37	3	14	-	-	-	1	-	-	1	480
2015	중구	남자	계	55,411	10,000	2,084	1,390	2,114	675	3,139	598	41,770	2,366	3,879	15,082	4,327	13,229	2,887	2,275	174	311	477	479	752	82	657	92	168	397	709
2015	중구	남자	6~9세	1,362	1,125	1,125	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	237
2015	중구	남자	10~14세	1,798	1,798	958	840	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2015	중구	남자	15~19세	2,707	2,433	-	394	1,444	210	385	-	252	-	-	252	-	-	-	22	-	4	15	-	3	-	-	-	-	-	-
2015	중구	남자	20~24세	4,090	2,961	-	156	655	361	1,767	22	1,019	1	25	622	244	127	-	104	-	-	13	62	29	-	6	4	2	-	-
2015	중구	남자	25~29세	4,720	1,056	-	-	-	54	820	182	3,335	-	18	769	741	1,754	53	267	-	3	21	106	137	-	61	7	40	14	1
2015	중구	남자	30~34세	5,356	274	-	-	-	28	69	177	4,710	-	51	892	811	2,570	386	260	-	5	42	86	122	5	106	15	29	62	6
2015	중구	남자	35~39세	4,709	119	-	-	-	5	7	107	4,279	1	43	1,105	620	2,078	432	256	-	13	32	81	130	-	54	11	9	34	1
2015	중구	남자	40~44세	4,852	73	-	-	3	8	26	36	4,497	5	143	1,639	624	1,615	471	193	-	36	47	23	67	20	88	8	19	61	1
2015	중구	남자	45~49세	4,585	85	-	-	5	9	48	23	4,258	89	340	1,850	434	1,242	303	149	4	30	50	30	12	23	85	22	12	51	8
2015	중구	남자	50~54세	4,799	28	-	-	5	-	7	16	4,499	189	555	2,048	283	1,092	332	221	19	44	51	45	53	9	46	11	11	24	5
2015	중구	남자	55~59세	4,943	36	-	-	1	-	6	29	4,617	300	735	1,944	290	971	377	207	14	64	74	9	33	13	68	-	17	51	15
2015	중구	남자	60~64세	3,654	8	-	-	-	-	2	6	3,415	330	594	1,553	84	634	220	112	15	22	42	11	22	-	48	-	5	43	71
2015	중구	남자	65~69세	2,901	3	1	-	1	-	1	-	2,650	407	578	1,050	52	454	109	160	48	23	29	13	35	12	45	12	5	28	43
2015	중구	남자	70~74세	2,285	1	-	-	-	-	1	-	2,000	448	417	663	92	287	93	175	35	36	42	-	62	-	34	-	13	21	75
2015	중구	남자	75~79세	1,559	-	-	-	-	-	-	-	1,376	326	248	432	46	261	63	90	24	27	-	9	30	-	5	-	5	-	88
2015	중구	남자	80~84세	670	-	-	-	-	-	-	-	532	152	91	158	6	87	38	43	13	4	5	4	17	-	10	2	1	7	85
2015	중구	남자	85세 이상	421	-	-	-	-	-	-	-	331	118	41	105	-	57	10	16	2	-	14	-	-	-	1	-	-	1	73
2015	중구	여자	계	57,163	8,871	1,961	1,091	1,925	630	2,720	544	43,622	4,893	4,831	14,526	4,945	12,187	2,240	1,890	590	274	240	328	378	80	583	85	118	380	2,197
2015	중구	여자	6~9세	1,374	1,090	1,090	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	284
2015	중구	여자	10~14세	1,647	1,647	870	777	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2015	중구	여자	15~19세	3,110	2,845	-	308	1,854	221	462	-	247	-	6	241	-	-	-	18	-	6	12	-	-	-	-	-	-	-	-
2015	중구	여자	20~24세	4,122	2,320	-	-	-	348	1,880	92	1,726	-	-	573	561	579	13	62	-	-	4	47	11	-	12	5	7	-	2
2015	중구	여자	25~29세	4,551	390	-	-	-	39	161	190	4,011	-	11	516	875	2,378	231	82	-	-	-	30	52	-	67	2	45	20	1
2015	중구	여자	30~34세	5,040	172	-	-	4	7	45	116	4,684	-	14	808	962	2,432	468	103	-	5	15	32	42	9	72	1	-	71	9
2015	중구	여자	35~39세	4,474	54	-	1	3	-	25	25	4,151	-	43	993	828	1,786	501	117	-	16	10	42	31	18	152	28	11	113	-
2015	중구	여자	40~44세	4,405	114	-	1	10	10	38	55	4,096	17	192	1,687	558	1,307	335	130	5	10	34	39	38	4	65	5	4	56	-
2015	중구	여자	45~49세	4,422	81	-	2	12	1	35	31	4,120	83	410	1,989	377	1,044	217	138	8	9	21	37	49	14	78	20	11	47	5
2015	중구	여자	50~54세	4,831	46	-	-	11	1	14	20	4,595	306	651	2,340	255	857	186	127	-	25	18	29	45	10	57	11	23	23	6
2015	중구	여자	55~59세	5,085	61	-	-	15	-	32	14	4,772	489	1,057	2,096	256	719	155	192	24	43	29	39	38	19	47	13	-	34	13
2015	중구	여자	60~64세	3,852	24	-	2	9	3	10	-	3,637	643	870	1,471	135	470	48	115	34	34	19	6	16	6	13	-	-	13	63
2015	중구	여자	65~69세	3,140	18	1	-	7	-	9	1	2,727	848	685	817	66	263	48	213	103	50	42	2	16	-	13	-	13	-	169
2015	중구	여자	70~74세	2,756	9	-	-	-	-	9	-	2,170	1,027	462	436	38	188	19	192	115	19	26	5	27	-	4	-	2	2	381
2015	중구	여자	75~79세	2,077	-	-	-	-	-	-	-	1,435	747	241	316	23	96	12	224	169	41	6	8	-	-	3	-	2	1	415
