충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,
거창휴게소(고서방향),휴게소,경상남도,연중무휴,00:00,24:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경상남도 거창군 가조면 가조가야로 1523,경상남도 거창군 가조면 도리 산181,한국자동차환경협회,1661-9408,35.706277,128.056925,2018-08-20,5470000,경상남도 거창군,
거창사과원예농협 하나로마트,마트앞 주차장,경상남도,연중무휴,00:00,24:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,경상남도 거창군 거창읍 수남로 2241,경상남도 거창군 거창읍 김천리 255,한국전력,1899-2100,35.679816,127.911302,2018-08-20,5470000,경상남도 거창군,
거창읍사무소,읍사무소 뒤편 주차장,경상남도,연중무휴,00:00,24:00,Y,N,,1,0,N,경상남도 거창군 거창읍 거열로 90,경상남도 거창군 거창읍 상림리 820,KT,1522-4700,35.688260,127.903849,2018-08-20,5470000,경상남도 거창군,
주상면사무소,주차장,경상남도,연중무휴,00:00,24:00,Y,N,,1,0,N,경상남도 거창군 주상면 주곡로 655,경상남도 거창군 주상면 도평리 713,KT,1522-4700,35.749508,127.913396,2018-08-20,5470000,경상남도 거창군,
남하면사무소,주차장,경상남도,연중무휴,00:00,24:00,Y,N,,1,0,N,경상남도 거창군 남하면 영서로 41,경상남도 거창군 남하면 무릉리 991-1,KT,1522-4700,35.668057,127.943564,2018-08-20,5470000,경상남도 거창군,
부산진구 건강증진센터,건강증진센터 지하주차장,부산광역시,연중무휴,01:00,24:00,Y,N,,1,0,Y,부산광역시 부산진구 시민공원로 30,,,051-605-6014,35.163151,129.053126,2018-08-09,3290000,부산광역시 부산진구,
종묘공영주차장,"서울특별시 종로구 종로 157, 지하주차장 4층 하층 T구역",서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상,0,1,Y,서울특별시 종로구 종로 157,서울특별시 종로구 훈정동 1-2,환경부(한국자동차환경협회),1661-9408,37.5712080,126.9954850,2018-08-16,3000000,서울특별시 종로구,
광화문열린마당주차장,서울특별시 종로구 세종로 76-2,서울특별시,연중무휴,00:00,23:59,Y,Y,DC차데모+AC3상+DC콤보,3,1,N,서울특별시 종로구 종로1길 55,서울특별시 종로구 세종로 76-2,한국전기차충전서비스,1522-1782,37.5751250,126.9783350,2018-08-16,3000000,서울특별시 종로구,
세종로공영주차장,"서울특별시 종로구 세종대로 189, 지하주차장 4층 D구역 계단실 앞",서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,서울특별시 종로구 세종대로 189,서울특별시 종로구 세종로 80-1,환경부(한국자동차환경협회),1661-9408,37.5733630,126.9758410,2018-08-16,3000000,서울특별시 종로구,
석탄회관 지하주차장,서울특별시 종로구 종로5길 58,서울특별시,공휴일,08:00,22:00,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,서울특별시 종로구 종로5길 58,서울특별시 종로구 수송동 80-6,한국전력,02-758-3274,37.5729600,126.9803290,2018-08-16,3000000,서울특별시 종로구,
국립현대미술관 서울관 주차장,서울특별시 종로구 삼청로 30,서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,2,Y,서울특별시 종로구 삼청로 30,서울특별시 종로구 소격동 165,한국전력,02-758-3274,37.5795190,126.9803790,2018-08-16,3000000,서울특별시 종로구,
서울시 서울디자인센터,서울특별시 종로구 율곡로 283 1층 현관 근처,서울특별시,연중무휴,00:00,23:59,Y,N,DC차데모+AC3상+DC콤보,1,0,Y,서울특별시 종로구 율곡로 283,서울특별시 종로구 종로6가 70-6,포스코ICT,1600-4047,37.5724650,127.0088720,2018-08-16,3000000,서울특별시 종로구,
성균관대학교 인문사회과학캠퍼스,서울특별시 종로구 성균관로 25-2 주차장,서울특별시,연중무휴,00:00,23:59,Y,N,DC차데모+AC3상+DC콤보,5,0,Y,서울특별시 종로구 성균관로25-2,서울특별시 종로구 명륜3가 53-21,포스코ICT,1600-4047,37.5872470,126.9930890,2018-08-16,3000000,서울특별시 종로구,
서울시청 차량지원실,서울특별시 종로구 송월길 52,서울특별시,평일운영,13:00,18:00,Y,N,DC차데모+AC3상+DC콤보,7,0,Y,서울특별시 종로구 송월길 52,서울특별시 종로구 신문로2가 1-43,한국전기차충전서비스,1522-1782,37.5706660,126.9663820,2018-08-16,3000000,서울특별시 종로구,
한국예술종합학교(종로),서울특별시 종로구 창경궁로 215 우측,서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,서울특별시 종로구 창경궁로 215,서울특별시 종로구 와룡동 2-70,환경부(한국자동차환경협회),1661-9408,37.5822870,126.9969840,2018-08-16,3000000,서울특별시 종로구,
태화빌딩,서울특별시 종로구 인사동5길 29 지상주차장,서울특별시,연중무휴,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,서울특별시 종로구 인사동5길 29,서울특별시 종로구 인사동 194-27,환경부(한국자동차환경협회),1661-9408,37.5719710,126.9848270,2018-08-16,3000000,서울특별시 종로구,
종로구청,서울특별시 종로구 삼봉로 43,서울특별시,연중무휴,00:00,23:59,Y,N,AC3상,1,0,Y,서울특별시 종로구 삼봉로 43,서울특별시 종로구 수송동146-2,한국전기차충전서비스,1522-1782,37.5728550,126.9791270,2018-08-16,3000000,서울특별시 종로구,
종로구보건소,서울특별시 종로구 자하문로19길 36,서울특별시,연중무휴,00:00,23:59,Y,N,AC3상,1,0,Y,서울특별시 종로구 자하문로19길 36,서울특별시 종로구 옥인동 45-30,에버온,1661-7766,37.5818060,126.9692270,2018-08-16,3000000,서울특별시 종로구,
울산 동구 전하체육센터,외부 주차장,울산광역시,연중무휴,00:00,12:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,울산광역시 동구 봉수로 285(전하동),울산광역시 동구 전하동 559-8,환경부(한국자동차환경협회),1661-9408,35.511899,129.422282,2018-06-30,3710000,울산광역시 동구,
전하시장 공영주차장,외부 주차장,울산광역시,연중무휴,00:00,12:00,N,Y,AC3상+DC차데모+DC콤보,0,1,N,울산광역시 동구 녹수2길 10(전하동),울산광역시 동구 전하동 451-3,한국전력공사,1899-2100,35.513592,129.430963,2018-06-30,3710000,울산광역시 동구,
홍은1동주민센터 전기차충전소,홍은1동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 홍은중앙로 85,서울특별시 서대문구 홍은동 11-853,한국전기차충전서비스(KEVCS),1522-1782,37.599694,126.9496939,2018-08-13,3120000,서울특별시 서대문구,
홍은2동주민센터 전기차충전소,홍은2동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 모래내로 334,서울특별시 서대문구 홍은동 273-10,한국전기차충전서비스(KEVCS),1522-1782,37.5800601,126.9319514,2018-08-13,3120000,서울특별시 서대문구,
홍제견인차량보관소 주차장 전기차충전소,홍제견인차량보관소,서울특별시,X,00:00,00:00,Y,Y,"AC3상, DC차데모, DC콤보",1,1,N,서울특별시 서대문구 홍제내길 227,서울특별시 서대문구 홍제동 294-84,시그넷이브이주식회사,070-4618-6057,37.5907812,126.9388115,2018-08-13,3120000,서울특별시 서대문구,
홍제2동주민센터 전기차충전소,홍제2동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 통일로34길 27,서울특별시 서대문구 홍제동 459-4,한국전기차충전서비스(KEVCS),1522-1782,37.5860597,126.947172,2018-08-13,3120000,서울특별시 서대문구,
홍제3동주민센터 전기차충전소,홍제3동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 세검정로4길 32,서울특별시 서대문구 홍제동 7-13,한국전기차충전서비스(KEVCS),1522-1782,37.5937254,126.9475606,2018-08-13,3120000,서울특별시 서대문구,
북가좌1동주민센터 전기차충전소,북가좌1동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 수색로100-55,서울특별시 서대문구 북가좌동 477,한국전기차충전서비스(KEVCS),1522-1782,37.5742842,126.9079675,2018-08-13,3120000,서울특별시 서대문구,
북가좌2동주민센터 전기차충전소,북가좌2동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 응암로1길10,서울특별시 서대문구 북가좌동 324-13,한국전기차충전서비스(KEVCS),1522-1782,37.5814484,126.9089814,2018-08-13,3120000,서울특별시 서대문구,
남가좌1동주민센터 전기차충전소,남가좌1동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 모래내로15길 37,서울특별시 서대문구 남가좌동 115-36,한국전기차충전서비스(KEVCS),1522-1782,37.5732691,126.9174743,2018-08-13,3120000,서울특별시 서대문구,
남가좌2동주민센터,남가좌2동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 증가로10길 28,서울특별시 서대문구 남가좌동 342-7,한국전기차충전서비스(KEVCS),1522-1782,37.5758313,126.9195745,2018-08-13,3120000,서울특별시 서대문구,
천연동주민센터 전기차충전소,천연동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 성산로 694,서울특별시 서대문구 영천동 101,한국전기차충전서비스(KEVCS),1522-1782,37.5710895,126.9568659,2018-08-13,3120000,서울특별시 서대문구,
신촌동주민센터 전기차중전소,신촌동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 이화여대길 92-8,서울특별시 서대문구 대현동 142-4,한국전기차충전서비스(KEVCS),1522-1782,37.4705963,126.9518995,2018-08-13,3120000,서울특별시 서대문구,
충현동주민센터 전기차중전소,충현동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1,0,N,서울특별시 서대문구 북아현로22길 38,서울특별시 서대문구 북아현동 1-90,한국전기차충전서비스(KEVCS),1522-1782,37.5647846,126.9525054,2018-08-13,3120000,서울특별시 서대문구,
홍은1동 제4공영주차장 전기차충전소,홍은1동 제4공영주차장,서울특별시,X,00:00,00:00,N,Y,"AC3상, DC차데모, DC콤보",0,1,Y,서울특별시 서대문구 홍은중앙로 125,서울특별시 서대문구 홍은동 11-23,한국전력 서대문은평지사,02-350-2264,37.6012903,126.949151,2018-08-13,3120000,서울특별시 서대문구,
서대문구청 광장 전기차충전소,서대문구청 광장,서울특별시,X,00:00,00:00,Y,Y,"AC3상, DC차데모, DC콤보",1,1,Y,서울특별시 서대문구 연희로 248,서울특별시 서대문구 연희동 168-6,한국자동차환경협회,1661-9408,37.5790419,126.9367548,2018-08-13,3120000,서울특별시 서대문구,
전기자동차 공공급속충전소 양산종합운동장,경상남도 양산시 양산대로 849(북부동) 종합운동장,경상남도,연중무휴,00:00,23:59,N,Y,전차종 충전가능,0,1,N,경상남도 양산시 양산대로 849(북부동),경상남도 양산시 북부동 533,한국환경공단,032-590-3682,35.344514,129.033779,2018-02-14,5380000,경상남도 양산시,
전기자동차 공공급속충전소 내원휴게소,경상남도 양산시 하북면 양산대로 1962 내원휴게소 주차장,경상남도,연중무휴,00:00,23:59,N,Y,전차종 충전가능,0,1,N,경상남도 양산시 하북면 양산대로 1962,경상남도 양산시 하북면 용연리 904-6,한국환경공단,032-590-3682,35.438473,129.071914,2018-02-14,5380000,경상남도 양산시,
전기자동차 공공완속충전소 웅상출장소,경상남도 양산시 진등길 40(웅상출장소 정문 입구 왼쪽편),경상남도,연중무휴,00:00,23:59,Y,N,전차종 충전가능,1,0,N,경상남도 양산시 진등길 40,경상남도 양산시 주진동 72-2,한국환경공단,032-590-3682,35.395401,129.154718,2018-02-14,5380000,경상남도 양산시,
전기자동차 급속충전소,충청남도 예산군 벚꽃로 214,충청남도,일요일,09:00,23:00,Y,Y,N,6,2,N,충청남도 예산군 벚꽃로 214,충청남도 예산군 예산읍 석양리 225-1,한국환경관리공단,032-590-4000,36.688568,126.827778,2018-08-20,4610000,충청남도 예산군,
전기자동차 급속충전소,충청남도 예산군 군청로 22,충청남도,일요일,09:00,23:00,Y,Y,N,6,2,N,충청남도 예산군 군청로 22,충청남도 예산군 예산읍 예산리 777,한국환경관리공단,032-590-4000,36.681762,126.846877,2018-08-20,4610000,충청남도 예산군,
이마트 문현점,부산광역시 남구 전포대로 91번길47,부산광역시,"매월 2,4주 일요일",10:00,24:00,N,Y,,,,N,부산광역시 남구 전포대로91번길47,,,,35.144541,129.064241,2018-08-20,3310000,부산광역시 남구,
영동읍사무소,영동읍사무소 주차장,충청북도,연중무휴,00:00,00:00,Y,Y,"DC차데모,AC3상,DC콤보",0,1,N,충청북도 영동군 영동읍 영동황간로 15,,한국자동차환경협회,1661-9408,36.1712292,127.7759854,2018-05-01,4440000,충청북도 영동군,
한국전력영동지사,한국전력영동지사 주차장,충청북도,연중무휴,06:00,23:00,Y,Y,"DC차데모,AC3상,DC콤보",0,1,N,충청북도 영동군 영동읍 학산영동로 1149 영동지사 사옥,,한국전력공사,1899-2100,36.1664033,127.7672425,2018-05-01,4440000,충청북도 영동군,
황간휴게소(부산방향),경부고속도로 황간휴게소(하행),충청북도,연중무휴,00:00,00:00,Y,Y,"DC차데모,AC3상,DC콤보",0,1,N,충청북도 영동군 영동군 황간면 회포길 102 충전소 입구 우측 공터,,한국자동차환경협회,1661-9408,36.2487068,127.8527183,2018-05-01,4440000,충청북도 영동군,
창동역환승주차장 충전소,창동역환승주차장,서울특별시,연중무휴,00:00,00:00,Y,Y,,2,1,Y,서울특별시 도봉구 창4동1-9,서울특별시 도봉구 창4동1-9,도봉구청,,37.6540342,127.048434,2018-05-15,3090000,서울특별시 도봉구,
빅마켓 충전소,방학동 빅마켓,서울특별시,연중무휴,10:00,22:00,N,Y,,,1,N,서울특별시 도봉구 방학동 717-6,서울특별시 도봉구 방학동 717-6,도봉구청,,37.6675664,127.0454944,2018-05-15,3090000,서울특별시 도봉구,
도봉구청 충전소,도봉구청 1층 주차장,서울특별시,연중무휴,00:00,00:00,Y,Y,,,1,Y,서울특별시 도봉구 마들로 656,,도봉구청,,37.6686287,127.0470496,2018-05-15,3090000,서울특별시 도봉구,
도봉구민회관 충전소,도봉구민회관 1층 주차장,서울특별시,연중무휴,00:00,00:00,Y,Y,,,1,Y,서울특별시 도봉구 도봉로 552,,도봉구청,,37.6540005,127.0386044,2018-05-15,3090000,서울특별시 도봉구,
창1동공영주차장 충전소,창1동공영주차장,서울특별시,연중무휴,09:00,18:00,Y,N,,1,,Y,서울특별시 도봉구 창동 657-37,서울특별시 도봉구 창동 657-37,도봉구청,,37.6470878,127.0371648,2018-05-15,3090000,서울특별시 도봉구,
영암군청,영암군청 별관 옆 주차장,전라남도,없음,00:00,12:00,Y,Y,트리플형,1,1,N,전라남도 영암군 영암읍 군청로 1,전라남도 영암군 영암읍 동무리 158,한국자동차환경협회,1661-9408,34.8005311,126.6970612,2018-07-30,4940000,전라남도 영암군,
시종면사무소,시종면사무소 주차장,전라남도,없음,00:00,12:00,N,Y,트리플형,0,1,N,전라남도 영암군 시종면 내동중앙로 41,전라남도 영암군 시종면 내동리 4,한국자동차환경협회,1661-9408,34.8687243,126.6072102,2018-07-30,4940000,전라남도 영암군,
전주시청,지하주차장,전라북도,공휴일,09:00,18:00,Y,N,,3,0,Y,"전라북도 전주시 완산구 노송광장로 10, 전주시청",전라북도 전주시 완산구 서노송동 568-1 전주시청,전라북도 전주시청,063-281-2324,35.8241932,127.1480005,2018-08-20,4640000,전라북도 전주시,
완산구청,지하1층주차장,전라북도,공휴일,09:00,18:00,Y,N,,3,0,N,"전라북도 전주시 완산구 서원로 232, 완산구청",전라북도 전주시 완산구 효자동1가 595 완산구청,전라북도 전주시 완산구청,063-220-5276,35.8121839,127.1197599,2018-08-20,4640000,전라북도 전주시,
덕진구청,지하1층주차장,전라북도,공휴일,09:00,18:00,Y,N,,3,0,N,"전라북도 전주시 덕진구 벚꽃로 55, 덕진구청",전라북도 전주시 덕진구 진북동 416-12 덕진구청,전라북도 전주시 덕진구청,063-270-6273,35.8293678,127.1343146,2018-08-20,4640000,전라북도 전주시,
전통문화전당,한국전통문화전당 지하주차장,전라북도,공휴일,09:00,18:00,Y,N,,2,0,N,전라북도 전주시 완산구 현무1길 20 한국전통문화전당,전라북도 전주시 완산구 경원동3가 14-2 한국전통문화전당,전라북도 전주시청,063-281-1561,35.8206761,127.1395273,2018-08-20,4640000,전라북도 전주시,
수질복원센터 앞 공원주차장,주차장,전라북도,공휴일,09:00,18:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,전라북도 전주시 덕진구 중동로 150,,전라북도 전주시청,063-281-2324,35.832940,127.062113,2018-08-20,4640000,전라북도 전주시,
차량등록사업소,주차장,전라북도,공휴일,09:00,18:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,전라북도 전주시 덕진구 완주로 6,,전라북도 전주시청,063-281-2324,35.867420,127.147559,2018-08-20,4640000,전라북도 전주시,
삼천도서관,주차장,전라북도,공휴일,09:00,18:00,N,Y,DC차데모+AC3상+DC콤보,,1,N,전라북도 전주시 완산구 용리로 107,,전라북도 전주시청,063-281-2324,35.798910,127.121697,2018-08-20,4640000,전라북도 전주시,
고석정 충전소,외부 주차장,강원도,연중무휴,00:00,24:00,N,Y,급속,0,1,Y,강원도 철원군 동송읍 태봉로 1825 주차장 일원,강원도 철원군 동송읍 장흥리 20-1,환경관리공단,031-723-4149,38.1868118,127.2878868,2018-08-20,4300000,강원도 철원군,
철원군 동송읍사무소,외부 주차장,강원도,연중무휴,00:00,24:00,Y,N,완속,1,0,N,강원도 철원군 동송읍 이평로 133,강원도 철원군 동송읍 이평리 860-1,환경관리공단,031-723-4149,38.207525,127.208702,2018-08-20,4300000,강원도 철원군,
철원군 김화읍사무소,외부 주차장,강원도,연중무휴,00:00,24:00,Y,N,완속,1,0,N,강원도 철원군 김화읍 호국로 6510,강원도 철원군 김화읍 학사리 261-1,환경관리공단,031-723-4149,38.249461,127.421176,2018-08-20,4300000,강원도 철원군,
철원군 서면사무소,외부 주차장,강원도,연중무휴,00:00,24:00,Y,N,완속,1,0,N,강원도 철원군 서면 신술2길 40,강원도 철원군 서면 자등리 754,환경관리공단,031-723-4149,38.165043,127.415628,2018-08-20,4300000,강원도 철원군,
철원군 철원읍사무소,외부 주차장,강원도,연중무휴,00:00,24:00,Y,N,완속,1,0,N,강원도 철원군 철원읍 금학로279번길 15-1,강원도 철원군 철원읍 화지리 38-1,환경관리공단,031-723-4149,38.165353,127.415578,2018-08-20,4300000,강원도 철원군,
철원군 근남면사무소,외부 주차장,강원도,연중무휴,00:00,24:00,Y,N,완속,1,0,N,강원도 철원군 근남면 하오재로 2050,강원도 철원군 근남면 육단리 302-6,환경관리공단,031-723-4149,38.237307,127.470970,2018-08-20,4300000,강원도 철원군,
철원군청 주차장,외부 주차장,강원도,연중무휴,00:00,24:00,Y,Y,급속,0,2,N,강원도 철원군 갈말읍 삼부연로 51,강원도 철원군 갈말읍 신철원리 649,환경관리공단,031-723-4149,38.237733,127.470838,2018-08-20,4300000,강원도 철원군,
동송읍 공영주차장,외부 주차장,강원도,연중무휴,00:00,24:00,Y,Y,급속,0,2,N,강원도 철원군 동송읍 금학로 201번길 20,강원도 철원군 동송읍 이평리 840-62,환경관리공단,031-723-4149,38.206925,127.217675,2018-08-20,4300000,강원도 철원군,
서면 공영주차장,외부 주차장,강원도,연중무휴,00:00,24:00,Y,Y,급속,0,2,N,강원도 철원군 서명 와수로166번길5,강원도 철원군 서면 와수리 1158-1,환경관리공단,031-723-4149,38.238952,127.439177,2018-08-20,4300000,강원도 철원군,
홈플러스 구월점,"인천광역시 남동구 예술로 198 , 지하주차장 4층 I4구역(구월동 1130)",인천광역시,-,09:00,23:59,N,Y,DC차데모+AC3상,0,1,Y,"인천광역시 남동구 예술로 198 , 지하주차장 4층 I4구역(구월동 1130)",인천광역시 남동구 구월동 1130,환경부(한국자동차환경협회),1661-9408,37.4516923,126.7019408,2019-06-27,3530000,인천광역시 남동구,
중부지방고용노동청 별관 앞,인천광역시 남동구 구월3동 1111-6  중부지방고용노동청 별관 앞,인천광역시,-,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,"인천광역시 남동구 문화로 135,  중부지방고용노동청 별관 앞",인천광역시 남동구 구월동 1111-6,환경부(한국자동차환경협회),1661-9408,37.4510928,126.6995303,2019-06-27,3530000,인천광역시 남동구,
인천시청,"인천광역시 남동구 정각로 29 , 정문 우측 경비실 앞(구월동 1138)",인천광역시,-,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,Y,"인천광역시 남동구 정각로 29 , 정문 우측 경비실 앞(구월동 1138)",인천광역시 남동구 구월동 1138,환경부(한국자동차환경협회),1661-9408,37.4562553577,126.7047010106,2019-06-27,3530000,인천광역시 남동구,
인천교통공사 본사,인천광역시 남동구 경인로 674,인천광역시,-,00:00,23:59,N,Y,DC차데모+AC3상+DC콤보,0,1,N,인천광역시 남동구 경인로 674,인천광역시 남동구 간석동 67-2,환경부(한국자동차환경협회),1661-9408,37.4700297,126.7089006,2019-06-27,3530000,인천광역시 남동구,
인천아시안게임 남동경기장 1주차장,인천광역시 남동구 수산동 394-54,인천광역시,-,00:00,23:59,N,Y,DC콤보,0,2,N,인천광역시 남동구 수산동 394-54,인천광역시 남동구 수산동 394-54,환경부(한국자동차환경협회),1661-9408,37.4392317,126.731229,2019-06-27,3530000,인천광역시 남동구,
소래제1주차장,인천광역시 남동구 논현동 754-4,인천광역시,-,00:00,23:59,N,Y,DC콤보,0,2,N,인천광역시 남동구 논현동 754-4,인천광역시 남동구 논현동 754-4,환경부(한국자동차환경협회),1661-9408,37.411903,126.730045,2019-06-27,3530000,인천광역시 남동구,
늘솔길공원 3주차장,인천광역시 남동구 논현동 762-3,인천광역시,-,00:00,23:59,N,Y,DC콤보,0,2,N,인천광역시 남동구 논현동 762-3,인천광역시 남동구 논현동 762-3,환경부(한국자동차환경협회),1661-9408,37.4048253,126.7026384,2019-06-27,3530000,인천광역시 남동구,
남동복지관,인천광역시 남동구 소래로 645,인천광역시,-,00:00,23:59,N,Y,DC콤보,0,2,N,인천광역시 남동구 소래로 645,인천광역시 남동구 만수동 984-6,환경부(한국자동차환경협회),1661-9408,37.4476235,126.7330404,2019-06-27,3530000,인천광역시 남동구,
장수서창 공영주차장,인천광역시 남동구 서창동 558-3,인천광역시,-,00:00,23:59,N,Y,DC콤보,0,2,N,인천광역시 남동구 서창동 558-3,인천광역시 남동구 서창동 558-3,환경부(한국자동차환경협회),1661-9408,37.4357347,126.7452621,2019-06-27,3530000,인천광역시 남동구,
LH인천본부,인천광역시 남동구 논현로46번길 23,인천광역시,-,09:00,18:00,N,Y,DC차데모+AC3상+DC콤보,0,2,Y,인천광역시 남동구 논현로46번길 23,인천광역시 남동구 논현동 639-1,한국전력,1899-2100,37.4075592,126.7055286,2019-06-27,3530000,인천광역시 남동구,
인천광역시 LGBESTSHOP(남동구청점),인천광역시 남동구 소래로 668 주차장,인천광역시,-,00:00,23:59,Y,N,-,1,,N,인천광역시 남동구 소래로 668 주차장,인천광역시 남동구 만수동 1072,포스코ICT,1600-4047,37.4489982,126.7345745,2019-06-27,3530000,인천광역시 남동구,
인천대공원사업소,인천광역시 남동구 무네미로 236,인천광역시,-,00:00,23:59,Y,N,-,2,0,N,인천광역시 남동구 무네미로 236,인천광역시 남동구 장수동 산164,한국전기차충전서비스,1522-1782,37.4576940,126.7494785,2019-06-27,3530000,인천광역시 남동구,
인천대공원사업소 정문,"인천광역시 남동구 무네미로 238 (장수동, 인천대공원)",인천광역시,-,10:00,18:00,Y,N,-,1,0,N,"인천광역시 남동구 무네미로 238 (장수동, 인천대공원)",인천광역시 남동구 장수동 산78,한국전기차충전서비스,1522-1782,37.4581551,126.7510781,2019-06-27,3530000,인천광역시 남동구,
인천광역시 한전KDN 인천지사,인천광역시 남동구 인주대로 885  주차장,인천광역시,-,00:00,23:59,Y,N,-,1,0,Y,인천광역시 남동구 인주대로 885  주차장,인천광역시 남동구 만수동 1072-5,포스코ICT,1600-4047,37.4485694,126.7356019,2019-06-27,3530000,인천광역시 남동구,
