기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
2017	동대문구	제기동	4	21,515	60,984	-	-	-	-	-	-	2	21,515	37,812	-	-	-	-	-	-	2	-	23,172
2017	동대문구	전농1동	4	61,688	379,671	1	10,911	177,793	1	40,346	177,793	-	-	-	-	-	-	-	-	-	2	10,431	24,085
2017	동대문구	답십리1동	1	-	4,046	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	4,046
2017	동대문구	장안1동	1	5,746	42,570	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,746	42,570
2017	동대문구	장안2동	2	14,992	63,240	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	14,992	63,240
2017	동대문구	이문1동	1	8,286	32,442	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	8,286	32,442
2017	동대문구	이문2동	1	1,774	3,392	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,774	3,392
2017	중랑구	소계	14	114,817	586,582	6	66,688	257,850	-	-	-	-	-	-	-	-	-	1	21,844	232,943	7	26,285	95,789
2017	중랑구	면목5동	1	8,129	10,461	1	8,129	10,461	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017	중랑구	면목7동	1	3,867	3,978	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,867	3,978
2017	중랑구	상봉1동	2	44,463	292,923	1	22,619	59,980	-	-	-	-	-	-	-	-	-	1	21,844	232,943	-	-	-
2017	중랑구	상봉2동	2	12,530	37,515	1	9,776	34,043	-	-	-	-	-	-	-	-	-	-	-	-	1	2,754	3,472
2017	중랑구	중화2동	1	3,756	26,680	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,756	26,680
2017	중랑구	묵1동	1	5,101	84,710	1	5,101	84,710	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017	중랑구	망우3동	1	1,321	7,154	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,321	7,154
2017	중랑구	신내1동	1	4,137	21,610	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,137	21,610
2017	중랑구	신내2동	2	19,992	60,247	1	11,101	29,118	-	-	-	-	-	-	-	-	-	-	-	-	1	8,891	31,129
2017	중랑구	면목본동	1	1,559	1,766	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,559	1,766
2017	중랑구	망우본동	1	9,962	39,538	1	9,962	39,538	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017	성북구	소계	20	120,900	182,428	3	47,024	47,024	1	36,583	88,679	-	-	-	-	-	-	1	17,056	26,488	15	20,237	20,237
2017	성북구	돈암1동	2	14,700	14,700	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	14,700	14,700
2017	성북구	돈암2동	1	1,155	1,155	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,155	1,155
2017	성북구	보문동	2	580	580	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	580	580
2017	성북구	정릉4동	1	230	230	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	230	230
2017	성북구	길음1동	2	433	433	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	433	433
2017	성북구	길음2동	4	47,208	99,304	1	10,006	10,006	1	36,583	88,679	-	-	-	-	-	-	-	-	-	2	619	619
2017	성북구	월곡2동	3	37,437	37,437	2	37,018	37,018	-	-	-	-	-	-	-	-	-	-	-	-	1	419	419
2017	성북구	장위3동	1	700	700	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	700	700
2017	성북구	성북동	1	544	544	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	544	544
2017	성북구	삼선동	1	197	197	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	197	197
2017	성북구	동선동	2	17,716	27,148	-	-	-	-	-	-	-	-	-	-	-	-	1	17,056	26,488	1	660	660
2017	강북구	소계	13	96,414	184,038	1	8,319	19,707	1	45,651	73,173	-	-	-	2	17,188	37,900	-	-	-	9	25,256	53,258
2017	강북구	번1동	1	2,651	2,903	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,651	2,903
2017	강북구	수유1동	2	8,683	27,838	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	8,683	27,838
2017	강북구	수유2동	1	1,061	2,122	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,061	2,122
2017	강북구	수유3동	2	4,919	7,750	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	4,919	7,750
2017	강북구	삼양동	2	11,562	23,526	1	8,319	19,707	-	-	-	-	-	-	-	-	-	-	-	-	1	3,243	3,819
2017	강북구	송중동	3	62,839	111,073	-	-	-	1	45,651	73,173	-	-	-	2	17,188	37,900	-	-	-	-	-	-
2017	강북구	송천동	1	3,279	4,831	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,279	4,831
2017	강북구	인수동	1	1,420	3,995	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,420	3,995
2017	도봉구	소계	9	53,923	141,130	3	25,115	91,084	-	-	-	-	-	-	-	-	-	-	-	-	6	28,808	50,046
2017	도봉구	방학1동	2	20,644	78,308	2	20,644	78,308	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017	도봉구	방학3동	1	3,294	4,666	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,294	4,666
2017	도봉구	창2동	2	9,489	12,288	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	9,489	12,288
2017	도봉구	창5동	1	4,471	12,776	1	4,471	12,776	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017	도봉구	도봉1동	1	1,477	1,810	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,477	1,810
2017	도봉구	도봉2동	2	14,548	31,282	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	14,548	31,282
2017	노원구	소계	14	187,117	506,793	2	23,319	94,373	2	58,519	132,704	-	-	-	1	38,200	99,968	-	-	-	9	67,079	179,748
2017	노원구	월계3동	1	38,200	99,968	-	-	-	-	-	-	-	-	-	1	38,200	99,968	-	-	-	-	-	-
2017	노원구	하계1동	1	10,209	21,109	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	10,209	21,109
2017	노원구	중계본동	1	10,150	20,657	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	10,150	20,657
2017	노원구	중계1동	1	10,479	38,456	1	10,479	38,456	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017	노원구	상계1동	1	3,263	24,995	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,263	24,995
2017	노원구	상계2동	3	62,568	133,771	-	-	-	1	48,227	72,915	-	-	-	-	-	-	-	-	-	2	14,341	60,856
2017	노원구	상계5동	1	7,863	14,890	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	7,863	14,890
2017	노원구	중계2.3동	4	38,516	144,101	1	12,840	55,917	1	10,292	59,789	-	-	-	-	-	-	-	-	-	2	15,384	28,395
2017	노원구	공릉1동	1	5,869	8,846	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,869	8,846
2017	은평구	소계	18	143,003	484,001	2	22,986	139,162	-	-	-	-	-	-	4	37,538	145,047	1	57,505	160,220	11	24,974	39,572
2017	은평구	불광1동	3	15,623	25,873	-	-	-	-	-	-	-	-	-	1	6,172	8,687	-	-	-	2	9,451	17,186
2017	은평구	갈현1동	1	908	1,753	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	908	1,753
2017	은평구	갈현2동	1	3,223	4,912	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,223	4,912
2017	은평구	대조동	3	28,617	101,803	-	-	-	-	-	-	-	-	-	2	26,324	97,074	-	-	-	1	2,293	4,729
2017	은평구	응암1동	1	16,105	58,384	1	16,105	58,384	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017	은평구	응암2동	1	649	1,688	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	649	1,688
2017	은평구	증산동	1	2,130	2,171	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,130	2,171
2017	은평구	수색동	2	7,856	81,852	1	6,881	80,778	-	-	-	-	-	-	-	-	-	-	-	-	1	975	1,074
2017	은평구	진관동	1	57,505	160,220	-	-	-	-	-	-	-	-	-	-	-	-	1	57,505	160,220	-	-	-
2017	은평구	불광2동	2	5,920	40,781	-	-	-	-	-	-	-	-	-	1	5,042	39,286	-	-	-	1	878	1,495
2017	은평구	응암3동	2	4,467	4,564	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	4,467	4,564
2017	서대문구	소계	9	80,282	199,525	-	-	-	1	35,472	84,575	-	-	-	-	-	-	-	-	-	8	44,810	114,950
2017	서대문구	홍제3동	1	2,982	4,321	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,982	4,321
2017	서대문구	홍은1동	1	6,606	35,627	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6,606	35,627
2017	서대문구	남가좌1동	2	2,950	3,617	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2,950	3,617
2017	서대문구	남가좌2동	1	1,397	6,865	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,397	6,865
2017	서대문구	신촌동	3	63,042	145,376	-	-	-	1	35,472	84,575	-	-	-	-	-	-	-	-	-	2	27,570	60,801
2017	서대문구	연희동	1	3,305	3,719	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,305	3,719
2017	마포구	소계	15	80,768	678,379	3	31,906	521,007	-	-	-	1	13,532	29,002	-	-	-	-	-	-	11	35,330	128,370
2017	마포구	대흥동	1	6,592	13,742	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6,592	13,742
2017	마포구	신수동	1	907	1,092	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	907	1,092
2017	마포구	서교동	3	18,289	45,404	-	-	-	-	-	-	1	13,532	29,002	-	-	-	-	-	-	2	4,757	16,402
2017	마포구	합정동	2	9,640	300,047	1	8,531	294,613	-	-	-	-	-	-	-	-	-	-	-	-	1	1,109	5,434
2017	마포구	망원2동	1	3,060	31,841	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,060	31,841
2017	마포구	연남동	1	438	492	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	438	492
2017	마포구	성산2동	1	12,337	17,320	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	12,337	17,320
2017	마포구	상암동	1	17,687	164,417	1	17,687	164,417	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017	마포구	서강동	1	3,992	38,659	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,992	38,659
2017	마포구	공덕동	3	7,825	65,365	1	5,688	61,977	-	-	-	-	-	-	-	-	-	-	-	-	2	2,137	3,388
2017	양천구	소계	13	119,303	443,945	1	14,074	59,518	2	62,577	239,441	-	-	-	1	19,765	3,387	-	-	-	9	22,887	141,599
2017	양천구	목1동	5	100,082	359,133	1	14,074	59,518	2	62,577	239,441	-	-	-	1	19,765	3,387	-	-	-	1	3,666	56,787
2017	양천구	목2동	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-
2017	양천구	목3동	1	3,636	34,961	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,636	34,961
2017	양천구	목4동	1	3,014	12,892	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,014	12,892
2017	양천구	신월6동	1	2,385	2,718	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,385	2,718
2017	양천구	신월7동	1	2,247	4,139	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,247	4,139
2017	양천구	신정1동	1	1,340	2,223	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,340	2,223
2017	양천구	신정7동	1	3,143	14,143	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,143	14,143
2017	양천구	신정4동	1	3,456	13,737	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,456	13,737
2017	강서구	소계	18	315,656	1,054,037	4	155,481	482,673	1	34,547	110,026	1	17,623	38,254	1	77,670	315,098	-	-	-	11	30,335	107,986
2017	강서구	염창동	1	3,563	21,851	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,563	21,851
2017	강서구	등촌1동	2	24,429	71,790	1	22,173	69,465	-	-	-	-	-	-	-	-	-	-	-	-	1	2,256	2,325
2017	강서구	등촌3동	3	55,182	153,166	-	-	-	1	34,547	110,026	1	17,623	38,254	-	-	-	-	-	-	1	3,012	4,886
2017	강서구	화곡3동	1	1,927	2,793	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,927	2,793
2017	강서구	화곡4동	1	1,422	2,314	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,422	2,314
2017	강서구	가양2동	1	32,210	45,018	1	32,210	45,018	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017	강서구	가양3동	1	23,428	53,092	1	23,428	53,092	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017	강서구	발산1동	1	3,379	18,077	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,379	18,077
2017	강서구	방화1동	1	5,163	20,992	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,163	20,992
2017	강서구	방화2동	3	158,922	633,778	1	77,670	315,098	-	-	-	-	-	-	1	77,670	315,098	-	-	-	1	3,582	3,582
2017	강서구	화곡1동	3	6,031	31,166	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	6,031	31,166
2017	구로구	소계	21	309,916	1,819,866	4	40,587	569,584	2	61,978	210,647	-	-	-	1	4,389	13,224	-	-	-	14	202,962	1,026,411
2017	구로구	신도림동	2	49,135	304,142	1	11,914	187,697	1	37,221	116,445	-	-	-	-	-	-	-	-	-	-	-	-
2017	구로구	구로1동	1	2,762	7,262	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,762	7,262
2017	구로구	구로3동	1	9,927	38,946	1	9,927	38,946	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017	구로구	구로5동	4	74,019	800,821	1	6,924	283,043	1	24,757	94,202	-	-	-	-	-	-	-	-	-	2	42,338	423,576
2017	구로구	고척1동	5	44,557	139,308	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	44,557	139,308
2017	구로구	고척2동	1	3,085	9,973	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,085	9,973
2017	구로구	개봉3동	1	2,464	9,650	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,464	9,650
2017	구로구	오류1동	1	4,389	13,224	-	-	-	-	-	-	-	-	-	1	4,389	13,224	-	-	-	-	-	-
2017	구로구	구로2동	5	119,578	496,540	1	11,822	59,898	-	-	-	-	-	-	-	-	-	-	-	-	4	107,756	436,642
2017	금천구	소계	16	333,499	771,936	3	56,885	153,342	-	-	-	-	-	-	5	103,085	284,932	1	24,948	98,995	7	148,581	234,667
2017	금천구	가산동	5	112,385	354,240	-	-	-	-	-	-	-	-	-	4	87,437	255,245	1	24,948	98,995	-	-	-
2017	금천구	독산1동	5	74,982	160,655	2	41,913	92,707	-	-	-	-	-	-	1	15,648	29,687	-	-	-	2	17,421	38,261
2017	금천구	독산3동	1	2,458	9,425	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,458	9,425
2017	금천구	시흥1동	2	17,223	63,156	1	14,972	60,635	-	-	-	-	-	-	-	-	-	-	-	-	1	2,251	2,521
2017	금천구	시흥3동	3	126,451	184,460	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	126,451	184,460
2017	영등포구	소계	28	402,843	1,626,729	6	97,713	733,867	2	50,499	146,749	2	19,564	113,125	3	101,724	385,067	1	37,286	84,288	14	96,057	163,633
2017	영등포구	여의동	2	40,823	288,192	1	3,537	203,904	-	-	-	-	-	-	-	-	-	1	37,286	84,288	-	-	-
2017	영등포구	당산1동	1	50,792	75,575	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	50,792	75,575
2017	영등포구	당산2동	1	4,447	6,123	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,447	6,123
2017	영등포구	양평1동	4	34,872	92,263	2	26,741	75,926	-	-	-	-	-	-	-	-	-	-	-	-	2	8,131	16,337
2017	영등포구	신길1동	1	5,525	12,129	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,525	12,129
2017	영등포구	신길3동	3	8,470	10,963	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	8,470	10,963
2017	영등포구	대림1동	1	2,797	9,726	-	-	-	-	-	-	-	-	-	1	2,797	9,726	-	-	-	-	-	-
2017	영등포구	대림3동	1	3,003	17,013	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,003	17,013
2017	영등포구	영등포본동	1	38,605	128,171	-	-	-	1	38,605	128,171	-	-	-	-	-	-	-	-	-	-	-	-
2017	영등포구	영등포동	8	155,179	801,253	2	31,747	387,895	1	11,894	18,578	-	-	-	2	98,927	375,341	-	-	-	3	12,611	19,439
2017	영등포구	도림동	1	1,614	4,156	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,614	4,156
2017	영등포구	문래동	4	56,716	181,165	1	35,688	66,142	-	-	-	2	19,564	113,125	-	-	-	-	-	-	1	1,464	1,898
2017	동작구	소계	6	23,288	39,029	-	-	-	1	11,900	15,248	-	-	-	-	-	-	-	-	-	5	11,388	23,781
2017	동작구	상도1동	1	1,182	2,471	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,182	2,471
2017	동작구	상도2동	1	1,699	4,290	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,699	4,290
2017	동작구	상도3동	1	1,905	6,267	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,905	6,267
2017	동작구	사당4동	1	1,551	3,844	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,551	3,844
2017	동작구	흑석동	1	5,051	6,909	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,051	6,909
2017	동작구	사당2동	1	11,900	15,248	-	-	-	1	11,900	15,248	-	-	-	-	-	-	-	-	-	-	-	-
2017	관악구	소계	21	107,180	320,190	1	14,784	32,282	1	21,711	91,647	-	-	-	1	7,081	7,870	3	26,037	87,194	15	37,567	101,197
2017	관악구	보라매동	1	21,711	91,647	-	-	-	1	21,711	91,647	-	-	-	-	-	-	-	-	-	-	-	-
2017	관악구	청림동	2	8,696	36,625	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	8,696	36,625
2017	관악구	행운동	1	7,081	7,870	-	-	-	-	-	-	-	-	-	1	7,081	7,870	-	-	-	-	-	-
2017	관악구	중앙동	1	2,725	3,406	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,725	3,406
2017	관악구	인헌동	1	1,725	2,058	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,725	2,058
2017	관악구	남현동	1	14,784	32,282	1	14,784	32,282	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017	관악구	서원동	1	15,913	37,758	-	-	-	-	-	-	-	-	-	-	-	-	1	15,913	37,758	-	-	-
2017	관악구	신원동	1	996	2,928	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	996	2,928
2017	관악구	서림동	1	2,072	5,053	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,072	5,053
2017	관악구	신사동	1	2,740	4,059	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,740	4,059
2017	관악구	신림동	1	6,516	22,986	-	-	-	-	-	-	-	-	-	-	-	-	1	6,516	22,986	-	-	-
2017	관악구	조원동	1	3,821	6,280	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,821	6,280
2017	관악구	대학동	1	4,380	23,320	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,380	23,320
