,행정동,충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,Unnamed: 21,0
20,남가좌제2동,남가좌2동주민센터,남가좌2동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1.0,0.0,N,서울특별시 서대문구 증가로10길 28,서울특별시 서대문구 남가좌동 342-7,한국전기차충전서비스(KEVCS),1522-1782,37.5758313,126.9195745,2018-08-13,3120000,서울특별시 서대문구,,
21,천연동,천연동주민센터 전기차충전소,천연동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1.0,0.0,N,서울특별시 서대문구 성산로 694,서울특별시 서대문구 영천동 101,한국전기차충전서비스(KEVCS),1522-1782,37.5710895,126.9568659,2018-08-13,3120000,서울특별시 서대문구,,
22,신촌동,신촌동주민센터 전기차중전소,신촌동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1.0,0.0,N,서울특별시 서대문구 이화여대길 92-8,서울특별시 서대문구 대현동 142-4,한국전기차충전서비스(KEVCS),1522-1782,37.4705963,126.9518995,2018-08-13,3120000,서울특별시 서대문구,,
23,충현동,충현동주민센터 전기차중전소,충현동주민센터,서울특별시,"주말, 공휴일",09:00,18:00,Y,N,X,1.0,0.0,N,서울특별시 서대문구 북아현로22길 38,서울특별시 서대문구 북아현동 1-90,한국전기차충전서비스(KEVCS),1522-1782,37.5647846,126.9525054,2018-08-13,3120000,서울특별시 서대문구,,
24,홍은제1동,홍은1동 제4공영주차장 전기차충전소,홍은1동 제4공영주차장,서울특별시,X,00:00,00:00,N,Y,"AC3상, DC차데모, DC콤보",0.0,1.0,Y,서울특별시 서대문구 홍은중앙로 125,서울특별시 서대문구 홍은동 11-23,한국전력 서대문은평지사,02-350-2264,37.6012903,126.949151,2018-08-13,3120000,서울특별시 서대문구,,
25,연희동,서대문구청 광장 전기차충전소,서대문구청 광장,서울특별시,X,00:00,00:00,Y,Y,"AC3상, DC차데모, DC콤보",1.0,1.0,Y,서울특별시 서대문구 연희로 248,서울특별시 서대문구 연희동 168-6,한국자동차환경협회,1661-9408,37.5790419,126.9367548,2018-08-13,3120000,서울특별시 서대문구,,
26,창4동,창동역환승주차장 충전소,창동역환승주차장,서울특별시,연중무휴,00:00,00:00,Y,Y,,2.0,1.0,Y,서울특별시 도봉구 창4동1-9,서울특별시 도봉구 창4동1-9,도봉구청,,37.6540342,127.048434,2018-05-15,3090000,서울특별시 도봉구,,창4동
27,방학1동,빅마켓 충전소,방학동 빅마켓,서울특별시,연중무휴,10:00,22:00,N,Y,,,1.0,N,서울특별시 도봉구 방학동 717-6,서울특별시 도봉구 방학동 717-6,도봉구청,,37.6675664,127.0454944,2018-05-15,3090000,서울특별시 도봉구,,
28,방학1동,도봉구청 충전소,도봉구청 1층 주차장,서울특별시,연중무휴,00:00,00:00,Y,Y,,,1.0,Y,서울특별시 도봉구 마들로 656,,도봉구청,,37.6686287,127.0470496,2018-05-15,3090000,서울특별시 도봉구,,
29,창5동,도봉구민회관 충전소,도봉구민회관 1층 주차장,서울특별시,연중무휴,00:00,00:00,Y,Y,,,1.0,Y,서울특별시 도봉구 도봉로 552,,도봉구청,,37.6540005,127.0386044,2018-05-15,3090000,서울특별시 도봉구,,
30,창1동,창1동공영주차장 충전소,창1동공영주차장,서울특별시,연중무휴,09:00,18:00,Y,N,,1.0,,Y,서울특별시 도봉구 창동 657-37,서울특별시 도봉구 창동 657-37,도봉구청,,37.6470878,127.0371648,2018-05-15,3090000,서울특별시 도봉구,,
31,진관동,구파발역환승주차장,지하주차장1층 20구역,서울특별시,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모,0.0,1.0,Y,서울특별시 은평구 진관2로 15-40,서울특별시 은평구 진관동 70-1,환경부(한국자동차환경협회),1661-9408,37.638763,126.918944,2019-03-31,3110000,서울특별시 은평구,,
32,응암제1동,이마트은평점,지하주차장4층 A구역,서울특별시,"매월 둘째, 넷째주 일요일",10:00,00:00,N,Y,AC3상+DC차데모,0.0,1.0,Y,서울특별시 은평구 은평로 111,서울특별시 은평구 응암동 90-1,환경부(한국자동차환경협회),1661-9408,37.600305999999996,126.92011299999999,2019-03-31,3110000,서울특별시 은평구,,
33,진관동,은평구민체육센터,주차장 내부,서울특별시,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC콤보,0.0,1.0,Y,서울특별시 은평구 진관1로 40,서울특별시 은평구 진관동 362,환경부(한국자동차환경협회),1661-9408,37.630675,126.92330600000001,2019-03-31,3110000,서울특별시 은평구,,
34,수색동,현대자동차수색대리점,주차장 내부,서울특별시,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC콤보,0.0,1.0,N,서울특별시 은평구 수색로 342-1,서울특별시 은평구 수색동 315-2,환경부(한국자동차환경협회),1661-9408,37.586603000000004,126.888038,2019-03-31,3110000,서울특별시 은평구,,
35,녹번동,한국전력서대문은평지사,주차장 내부,서울특별시,"연중무휴(주중08~20시, 주말09~18시 운영)",08:00,20:00,N,Y,AC3상+DC차데모+DC콤보,0.0,1.0,N,서울특별시 은평구 통일로 659,서울특별시 은평구 녹번동 28-62,한국전력,02-350-2264,37.605369,126.933683,2019-03-31,3110000,서울특별시 은평구,,
36,응암제2동,서울특별시은평병원,주차장 내부,서울특별시,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC콤보,0.0,1.0,Y,서울특별시 은평구 백련산로 90,서울특별시 은평구 응암동 232-3,한국전력,02-300-8016,37.598365,126.93735,2019-03-31,3110000,서울특별시 은평구,,
37,녹번동,은평평화공원공영주차장,주차장 내부,서울특별시,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC콤보,0.0,2.0,Y,서울특별시 은평구 서오릉로 47,서울특별시 은평구 녹번동 153-1,한국전력,02-350-5183,37.605678000000005,126.92304399999999,2019-03-31,3110000,서울특별시 은평구,,
38,응암제3동,응암3동공영주차장,주차장 내부,서울특별시,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC콤보,0.0,1.0,Y,서울특별시 은평구 불광천길 436,서울특별시 은평구 응암동 580-4,한국전력,02-350-2245,37.593425,126.91535,2019-03-31,3110000,서울특별시 은평구,,
39,진관동,롯데슈퍼 은평점,주차장 내부,서울특별시,"매월 둘째, 넷째주 일요일",00:00,00:00,N,Y,AC3상+DC차데모+DC콤보,0.0,1.0,Y,서울특별시 은평구 진관2로 117,서울특별시 은평구 진관동 90-1,한국전기차충전서비스,1522-1782,37.63432394,126.93046579,2019-03-31,3110000,서울특별시 은평구,,
40,진관동,서울시 은평소방서,주차장 내부,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,1.0,0.0,N,서울특별시 은평구 통일로 962,서울특별시 은평구 진관동 120,포스코ICT,1600-4047,37.62857969,126.91972764,2019-03-31,3110000,서울특별시 은평구,,
41,불광제2동,서울시 연광초등학교 지하 공동주차장,주차장 내부,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,1.0,0.0,Y,서울특별시 은평구 연서로 347,서울특별시 은평구 불광동 73-1,포스코ICT,1600-4047,37.62618983,126.92884773,2019-03-31,3110000,서울특별시 은평구,,
42,불광제2동,서울시 연신중학교 지하 공동주차장,주차장 내부,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,1.0,0.0,Y,서울특별시 은평구 연서로33길 16-32,서울특별시 은평구 불광동 400-4,포스코ICT,1600-4047,37.62301523,126.92484212,2019-03-31,3110000,서울특별시 은평구,,
43,녹번동,현대자동차 블루핸즈 녹번서부점,주차장 내부(현대차 이외 고객 이용 불가),서울특별시,연중무휴,09:00,18:00,Y,N,AC완속,1.0,0.0,Y,서울특별시 은평구 통일로 661,서울특별시 은평구 녹번동 28-71,현대자동차,,37.60556918,126.93381492,2019-03-31,3110000,서울특별시 은평구,,
44,녹번동,은평구청,주차장,서울특별시,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC콤보,0.0,1.0,N,서울특별시 은평구 은평로 195,서울특별시 은평구 녹번동 84,환경부(한국자동차환경협회),02-351-6155,37.6021755627,126.9293379035,2019-03-31,3110000,서울특별시 은평구,,
45,역촌동,서북병원,주차장,서울특별시,연중무휴,00:00,00:00,N,Y,AC3상+DC차데모+DC콤보,0.0,1.0,N,서울특별시 은평구 갈현로7길 49,서울특별시 은평구 역촌동 산31-1,환경부(한국자동차환경협회),02-3156-3000,37.6046197196,126.9053566093,2019-03-31,3110000,서울특별시 은평구,,
46,진관동,서울소방학교,주차장,서울특별시,연중무휴,00:00,00:00,Y,N,AC완속,1.0,0.0,Y,서울특별시 은평구 통일로 1031-21,서울특별시 은평구 진관동 110-26,한국전력,02-2106-3612,37.634216463499996,126.9144630046,2019-03-31,3110000,서울특별시 은평구,,
47,진관동,아이파크포레스트게이트,주차장,서울특별시,연중무휴,00:00,00:00,N,Y,AC완속,4.0,0.0,Y,서울특별시 은평구 통일로 1010,서울특별시 은평구 진관동 100-3,한국전력,02-389-7334,37.632879295500004,126.9183146017,2019-03-31,3110000,서울특별시 은평구,,
48,잠실6동,송파구청,지상주차장,서울특별시,없음,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 송파구 올림픽로 326,서울특별시 송파구 신천동 29-5,서울특별시 송파구청,02-2147-2131,37.514447,127.105918,2019-05-31,3230000,서울특별시 송파구,,
49,잠실3동,롯데마트 잠실점,지하주차장 1층 M148구역,서울특별시,"매월2,4주일요일",10:00,23:00,Y,Y,DC차데모+AC3상,1.0,2.0,Y,서울특별시 송파구 올림픽로 240,서울특별시 송파구 잠실동 40-1,전기자동차 헬프데스크,1661-9408,37.511267,127.080518,2019-05-31,3230000,서울특별시 송파구,,
50,위례동,복정역 공영주차장,외부주차장,서울특별시,없음,00:00,24:00,N,Y,DC차데모+AC3상,0.0,1.0,Y,서울특별시 송파구 장지동,서울특별시 송파구 장지동 600-2,전기자동차 헬프데스크,1661-9408,37.469749,127.126622,2019-05-31,3230000,서울특별시 송파구,,
51,마천1동,마천동1공영주차장,외부주차장,서울특별시,없음,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 송파구 성내천로43길 6,서울특별시 송파구 마천동 215,한전강동송파지사,02-480-2275,37.4954,127.1555,2019-05-31,3230000,서울특별시 송파구,,
52,가락1동,가락시장,농수산물도매시장 지하주차장,서울특별시,없음,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0.0,3.0,Y,서울특별시 송파구 양재대로 932,서울특별시 송파구 가락동 600,한전강동송파지사,02-480-2275,37.4933,127.1123,2019-05-31,3230000,서울특별시 송파구,,
53,가락1동,서울시 농수산식품공사 친환경농산물 집배송센터,친환경농산물집배송센터 지상주차장,서울특별시,없음,00:00,24:00,Y,N,AC완속,1.0,0.0,Y,서울특별시 송파구 양재대로 932,서울특별시 송파구 가락동 600,포스코ICT,02-3435-0338,37.493395,127.111499,2019-05-31,3230000,서울특별시 송파구,,
54,가락1동,서울시 농수산식품공사 가락몰 판매동,가락몰관리업무동 지하3층 S13,서울특별시,없음,00:00,24:00,Y,N,AC완속,3.0,0.0,Y,서울특별시 송파구 양재대로 932,서울특별시 송파구 가락동 600,포스코ICT,02-3435-0338,37.493395,127.111499,2019-05-31,3230000,서울특별시 송파구,,
55,가락1동,서울시 농수산식품공사 가락몰 관리업무동,가락몰판매동 지하3층 I07,서울특별시,없음,00:00,24:00,Y,N,AC완속,3.0,0.0,Y,서울특별시 송파구 양재대로 932,서울특별시 송파구 가락동 600,포스코ICT,02-3435-0338,37.493395,127.111499,2019-05-31,3230000,서울특별시 송파구,,
56,문정2동,서울시 대명레저산업 본사,지하3층 주차장 3A 구역,서울특별시,없음,00:00,24:00,Y,N,AC완속,2.0,0.0,Y,서울특별시 송파구 법원로 135,서울특별시 송파구 문정동 641-3 대명타워,포스코ICT,02-3435-0338,37.485772,127.120397,2019-05-31,3230000,서울특별시 송파구,,
57,문정2동,롯데마트 송파점,지하4층 C8,서울특별시,"매월2,4주일요일",10:00,23:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 송파구 중대로 80,서울특별시 송파구 문정동 150-2 문정프라자,환경부,1661-9408,37.49171,127.117737,2019-05-31,3230000,서울특별시 송파구,,
58,잠실7동,아시아공원 공영주차장,외부주차장,서울특별시,없음,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0.0,3.0,Y,서울특별시 송파구 잠실동 84,서울특별시 송파구 잠실동 84 아시아공원,환경부,1661-9408,37.51051,127.07634,2019-05-31,3230000,서울특별시 송파구,,
59,방이2동,방이동 공영주차장,외부주차장,서울특별시,없음,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 송파구 백제고분로 481,서울특별시 송파구 방이동 52-1,한국전력,1899-2100,37.514897,127.113133,2019-05-31,3230000,서울특별시 송파구,,
60,잠실6동,롯데월드타워&몰지하주차장,"지하 주차장 2,3,4층",서울특별시,없음,00:00,24:00,Y,Y,DC차데모+AC3상+DC콤보,112.0,6.0,Y,서울특별시 송파구 올림픽로 300,서울특별시 송파구 신천동 29,롯데물산,02-3213-0251,37.513689,127.104454,2019-05-31,3230000,서울특별시 송파구,,
61,마천1동,마천동2공영주차장,외부주차장,서울특별시,없음,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 송파구 성내천로299-7,서울특별시 송파구 마천동 364-5 마천동2공영주차장,환경부(한국자동차환경협회),1661-9408,37.494576,127.156181,2019-05-31,3230000,서울특별시 송파구,,
62,거여2동,거여동공영주차장,외부주차장,서울특별시,없음,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 송파구 오금로68길8,서울특별시 송파구 거여동 33-16 거여동공영주차장,환경부(한국자동차환경협회),1661-9408,37.492539,127.150322,2019-05-31,3230000,서울특별시 송파구,,
63,마천2동,천마공영주차장,외부주차장,서울특별시,없음,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 송파구 성내천로33가길20,서울특별시 송파구 마천동 산1-5 천마공영주차장,환경부(한국자동차환경협회),1661-9408,37.500477,127.154837,2019-05-31,3230000,서울특별시 송파구,,
64,방이2동,신천유수지 공영주차장,외부주차장,서울특별시,없음,00:00,24:00,Y,Y,DC차데모+AC3상+DC콤보,1.0,1.0,Y,서울특별시 송파구 오금로 1,서울특별시 송파구 신천동 14,한국전기차충전서비스,1522-1782,37.52205,127.103237,2019-05-31,3230000,서울특별시 송파구,,
65,잠실6동,잠실역 공영주차장,외부주차장,서울특별시,없음,00:00,24:00,Y,Y,DC차데모+AC3상+DC콤보,3.0,1.0,Y,서울특별시 송파구 올림픽로 300,서울특별시 송파구 신천동 29,한국전기차충전서비스,1522-1782,37.517222,127.105264,2019-05-31,3230000,서울특별시 송파구,,
66,방이2동,딜라이트 호텔,지상주차장,서울특별시,없음,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 송파구 오금로11길 21-9,서울특별시 송파구 방이동 36-5 잠실딜라이트호텔,케이티,1522-4700,37.515614,127.109254,2019-05-31,3230000,서울특별시 송파구,,
67,위례동,스마트위례주유소,주유소출구,서울특별시,없음,00:00,24:00,N,Y,DC콤보,0.0,1.0,N,서울특별시 송파구 위례중앙로 43,서울특별시 송파구 장지동 908,GS칼텍스,02-409-5185,37.486348,127.133817,2019-05-31,3230000,서울특별시 송파구,,
68,문정2동,가든파이브주유소,주유소출구,서울특별시,없음,00:00,24:00,N,Y,DC콤보,0.0,1.0,N,서울특별시 송파구 탄천동로 740,서울특별시 송파구 장지동 875-1,GS칼텍스,02-409-5145,37.485198,127.133184,2019-05-31,3230000,서울특별시 송파구,,
69,가산동,제일모직아울렛 건너편(공중전화부스),제일모직아울렛 건너편(공중전화부스),서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,N,서울특별시 금천구 가산동 239-27,서울특별시 금천구 가산동 239-27,환경부(한국자동차환경협회),1661-9408,37.474445,126.886753,2019-05-31,3170000,서울특별시 금천구,,
70,시흥제1동,홈플러스 시흥점,홈플러스 시흥점,서울특별시,"2,4째 일요일",10:00,23:59,N,Y,DC차데모+AC3상,0.0,1.0,Y,서울특별시 금천구 시흥대로 201,서울특별시 금천구 시흥동 992-47,환경부(한국자동차환경협회),1661-9408,37.4519767,126.900758,2019-05-31,3170000,서울특별시 금천구,,
71,독산제1동,독산1동 공영주차장,독산1동 공영주차장 2층,서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상,0.0,1.0,Y,서울특별시 금천구 범안로12가길 65,서울특별시 금천구 독산동 1006-94,환경부(한국자동차환경협회),1661-9408,37.4648929,126.894747,2019-05-31,3170000,서울특별시 금천구,,
72,독산제1동,롯데VIC마켓금천점,롯데VIC마켓금천점,서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,2.0,Y,서울특별시 금천구 두산로 71,서울특별시 금천구 독산동 295-10,환경부(한국자동차환경협회),1661-9408,37.470487,126.8956692,2019-05-31,3170000,서울특별시 금천구,,
73,가산동,가산동 공영주차장,가산동 공영주차장 2층,서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 금천구 시흥대로153길 53,서울특별시 금천구 가산동 148-28,서울시(한국자동차환경협회),1661-9408,37.476695,126.895518,2019-05-31,3170000,서울특별시 금천구,,
74,독산제1동,시티렉스,시티렉스,서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 금천구 시흥대로 399,서울특별시 금천구 독산동 291-5,한국전기차충전서비스,1522-1782,37.4693273,126.897052,2019-05-31,3170000,서울특별시 금천구,,
75,시흥제1동,기아 시흥 서비스센터,기아 시흥 서비스센터,서울특별시,토일,08:30,17:30,N,Y,DC차데모,0.0,1.0,N,서울특별시 금천구 시흥대로51길 20,서울특별시 금천구 시흥동 992-28,기아자동차,02-804-8585,37.4517561,126.89937,2019-05-31,3170000,서울특별시 금천구,,
76,가산동,대륭테크노타운2차,지하주차장 출구측,서울특별시,연중무휴,06:00,23:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 금천구 가산디지털1로 33-33,서울특별시 금천구 가산동 569-21,한국전력,1899-2100,37.468407,126.8846233,2019-05-31,3170000,서울특별시 금천구,,
77,시흥제1동,금천구청,금천구청 후정,서울특별시,연중무휴,06:00,23:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,한국전력,1899-2100,37.4567667,126.8954005,2019-05-31,3170000,서울특별시 금천구,,
78,독산제1동,시흥4동 공영주차장,시흥4동 공영주차장 지하1층,서울특별시,연중무휴,00:00,00:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,"서울특별시 금천구 독산로 36나길 21, B1 18",서울특별시 금천구 독산동 1006-102,환경부(한국자동차환경협회),1661-9408,37.459686700000006,126.909022,2019-05-31,3170000,서울특별시 금천구,,
79,독산제1동,홈플러스 금천점,홈플러스 금천점,서울특별시,"2,4째 일요일",10:00,23:59,N,Y,DC콤보,0.0,2.0,Y,서울특별시 금천구 시흥대로 391,서울특별시 금천구 독산동 291-7,환경부(한국자동차환경협회),1661-9408,37.4686493,126.8968106,2019-05-31,3170000,서울특별시 금천구,,
80,독산제1동,동일테크노타운2차,동일테크노타운2차,서울특별시,연중무휴,06:00,23:00,N,Y,DC차데모+AC3상+DC콤보,0.0,1.0,Y,서울특별시 금천구 범안로17길 61,서울특별시 금천구 독산동 330-6,한국전력,1899-2100,37.4691723,126.8933764,2019-05-31,3170000,서울특별시 금천구,,
