주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,Unnamed: 33
115-1-000022,화곡6동 신학대길,공영,노상,서울특별시 강서구 화곡로 302,서울특별시 강서구 화곡6동 980-17번지,54,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,250,5.0,250.0,8.0,10000.0,120000.0,"현금, 신용카드","국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-9113,37.550717999999996,126.85024399999999,2019-03-28,3150000,서울특별시 강서구,-1.0
115-1-000023,등촌3동 구암길,공영,노상,서울특별시 강서구 공항대로39길 74,서울특별시 강서구 등촌3동 709-20,52,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,250,5.0,250.0,8.0,10000.0,120000.0,"현금, 신용카드","국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-9113,37.560497999999995,126.845694,2019-03-28,3150000,서울특별시 강서구,-1.0
115-1-000024,등촌3동 꿈나무길,공영,노상,서울특별시 강서구 공항대로 351-21,서울특별시 강서구 등촌3동 709-16번지,59,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,유료,5,250,5.0,250.0,8.0,10000.0,120000.0,"현금, 신용카드","국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-9113,37.559946000000004,126.84643600000001,2019-03-28,3150000,서울특별시 강서구,-1.0
115-1-000025,가양3동 황금내공원길,공영,노상,서울특별시 강서구 허준로 175,서울특별시 강서구 가양3동 1485-3,80,4,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,5,100,5.0,100.0,8.0,5000.0,50000.0,"현금, 신용카드","국가유공상이자, 장애인, 고엽제후유의증환자 80프로할인 + 경차 및 저공해자동차 50프로할인",서울특별시 강서구청,02-2607-9113,37.562979,126.861911,2019-03-28,3150000,서울특별시 강서구,-1.0
120-1-000013,낙성대제1공영주차장,공영,노상,서울특별시 관악구 봉천로 62길 일대,서울특별시 관악구 봉천동 1627-12일대,23,3,요일제,평일+토요일,09:00,19:00,09:00,16:00,00:00,00:00,유료,5,150,-1.0,-1.0,-1.0,-1.0,80000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2678,37.477589,126.958951,2019-05-27,3200000,서울특별시 관악구,-1.0
120-1-000012,낙성대제2공영주차장,공영,노상,서울특별시 관악구 낙성대로 3길 일대,서울특별시 관악구 봉천동 220-2일대,26,3,요일제,평일+토요일,09:00,19:00,09:00,16:00,00:00,00:00,유료,1440,80000,-1.0,-1.0,-1.0,-1.0,80000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2678,37.474496,126.95984399999999,2019-05-27,3200000,서울특별시 관악구,-1.0
120-2-000006,난곡동제1공영주차장,공영,노외,서울특별시 관악구 난곡로34길 71,서울특별시 관악구 신림동 626-82,119,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,50,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.472171100000004,126.92313100000001,2019-05-27,3200000,서울특별시 관악구,-1.0
120-2-000007,난우중공영주차장,공영,노외,서울특별시 관악구 난곡로 16길 32,서울특별시 관악구 신림동 652-156,71,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,1440,50000,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.466680700000005,126.9228102,2019-05-27,3200000,서울특별시 관악구,-1.0
120-2-000011,남부초공영주차장,공영,노외,서울특별시 관악구 남부순환로 163길 14,서울특별시 관악구 신림동 467,135,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,150,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.48504129999999,126.9221169,2019-05-27,3200000,서울특별시 관악구,-1.0
120-1-000020,남현동제1공영주차장,공영,노상,-1,서울특별시 관악구 남현동 1063-1,65,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,250,-1.0,-1.0,-1.0,-1.0,40000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.4756901,126.979251,2019-05-27,3200000,서울특별시 관악구,-1.0
120-2-000010,당곡중공영주차장,공영,노외,서울특별시 관악구 봉천로 13길 101,서울특별시 관악구 봉천동 682,159,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,50,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.491935299999994,126.9330422,2019-05-27,3200000,서울특별시 관악구,-1.0
120-2-000008,미성동제4공영주차장,공영,노외,서울특별시 관악구 난우10가길 2,서울특별시 관악구 신림동 597-1,79,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,1440,50000,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.4762929,126.91992150000002,2019-05-27,3200000,서울특별시 관악구,-1.0
120-2-000004,보라매제1공영주차장,공영,노외,서울특별시 관악구 봉천로 21길 38,서울특별시 관악구 봉천동 산 110-4,133,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,50,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.4885084,126.9345192,2019-05-27,3200000,서울특별시 관악구,-1.0
120-1-000014,삼성동제1공영주차장,공영,노상,서울특별시 관악구 원신길 78~224구간,서울특별시 관악구 신림동 808-498,105,3,요일제,평일+토요일,09:00,19:00,09:00,16:00,00:00,00:00,유료,5,150,-1.0,-1.0,-1.0,-1.0,80000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2678,37.4684434508,126.93101269200001,2019-05-27,3200000,서울특별시 관악구,-1.0
120-1-000016,서원동제1공영주차장,공영,노상,서울특별시 관악구 관천로 32~44구간,서울특별시 관악구 신림동 1642-7,34,2,요일제,평일+토요일+공휴일,11:00,21:00,11:00,21:00,11:00,20:00,유료,5,250,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2678,37.482217,126.92891200000001,2019-05-27,3200000,서울특별시 관악구,-1.0
120-2-000009,신림동제1공영주차장,공영,노외,서울특별시 관악구 관천로 98,서울특별시 관악구 신림동 1456-3,191,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,250,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.487364,126.9233928,2019-05-27,3200000,서울특별시 관악구,-1.0
120-1-000017,신림동제2공영주차장,공영,노상,서울특별시 관악구 관천로 66 일대,서울특별시 관악구 신림동 1433-150,33,2,요일제,평일+토요일+공휴일,11:00,21:00,11:00,21:00,11:00,20:00,유료,5,250,-1.0,-1.0,-1.0,-1.0,110000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2678,37.484771,126.925676,2019-05-27,3200000,서울특별시 관악구,-1.0
120-2-000005,신사동제1공영주차장,공영,노외,서울특별시 관악구 남부순환로 153길 51,서울특별시 관악구 신림동 511-1,41,5,요일제,평일+토요일+공휴일,09:00,19:00,09:00,16:00,00:00,00:00,유료,5,50,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.4843973,126.915444,2019-05-27,3200000,서울특별시 관악구,-1.0
120-1-000018,신사시장공영주차장,공영,노상,서울특별시 관악구 관천로19길 87-1,서울특별시 관악구 신림동 494-37 외 3필지,13,3,요일제,평일+토요일+공휴일,10:00,20:00,10:00,20:00,10:00,20:00,유료,5,150,-1.0,-1.0,-1.0,-1.0,40000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.486667499999996,126.9172665,2019-05-27,3200000,서울특별시 관악구,-1.0
120-1-000019,신원시장공영주차장,공영,노상,서울특별시 관악구 관천로 29,서울특별시 관악구 신림동 1587-25,51,2,요일제,평일+토요일+공휴일,11:00,21:00,11:00,20:00,11:00,20:00,유료,5,250,-1.0,-1.0,-1.0,-1.0,100000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.4822463,126.92756740000002,2019-05-27,3200000,서울특별시 관악구,-1.0
120-2-000003,원신공영주차장,공영,노외,서울특별시 관악구 양지길 63,서울특별시 관악구 신림동 366,174,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,50,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.470107,126.92921299999999,2019-05-27,3200000,서울특별시 관악구,-1.0
120-2-000002,조원동제1공영주차장,공영,노외,서울특별시 관악구 조원중앙로2길 19,서울특별시 관악구 신림동 571-6,108,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,250,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2679,37.481072999999995,126.905677,2019-05-27,3200000,서울특별시 관악구,-1.0
120-1-000015,조원동제2공영주차장,공영,노상,서울특별시 관악구 조원로 4~34구간,서울특별시 관악구 신림동 1675-8,55,2,요일제,평일+토요일,09:00,19:00,09:00,16:00,00:00,00:00,유료,5,250,-1.0,-1.0,-1.0,-1.0,120000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2678,37.483543,126.902978,2019-05-27,3200000,서울특별시 관악구,-1.0
120-2-000001,행운동제1공영주차장,공영,노외,서울특별시 관악구 행운4길 21,서울특별시 관악구 봉천동 1677-10,79,3,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,5,150,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2678,37.4797436,126.960471,2019-05-27,3200000,서울특별시 관악구,-1.0
120-2-000021,민방위교육장공영주차장,공영,노외,서울특별시 관악구 문성로16다길 135,서울특별시 관악구 신림동 737,42,5,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,0,0,-1.0,-1.0,-1.0,-1.0,50000.0,-1,-1,서울특별시 관악구시설관리공단,02-2081-2686,37.4693484,126.91126820000001,2019-05-27,3200000,서울특별시 관악구,-1.0
121-1-000001,반포복개천,공영,노상,서울특별시 서초구 반포4동  57주변,서울특별시 서초구 반포4동  57주변,41,1,미시행,평일+토요일,09:00,21:00,09:00,21:00,00:00,00:00,유료,10,800,10.0,800.0,-1.0,-1.0,-1.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.503961,127.010182,2019-06-26,3210000,서울특별시 서초구,-1.0
121-1-000002,방배복개도로 제1지역,공영,노상,서울특별시 서초구 방배동 493-3,서울특별시 서초구 방배동 493-3,152,2,미시행,평일+토요일,10:00,23:00,10:00,23:00,00:00,00:00,유료,10,500,10.0,500.0,-1.0,-1.0,-1.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.477835,126.982669,2019-06-26,3210000,서울특별시 서초구,-1.0
121-1-000003,방배복개도로 제2지역,공영,노상,서울특별시 서초구 방배동 493-5,서울특별시 서초구 방배동 493-5,137,2,미시행,평일+토요일,10:00,23:00,10:00,23:00,00:00,00:00,유료,10,500,10.0,500.0,-1.0,-1.0,-1.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.483096999999994,126.982529,2019-06-26,3210000,서울특별시 서초구,-1.0
121-1-000004,방배역,공영,노상,서울특별시 서초구 방배동 910-16,서울특별시 서초구 방배동 910-16,10,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,00:00,21:00,유료,10,500,10.0,500.0,-1.0,-1.0,-1.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.482203000000005,126.997031,2019-06-26,3210000,서울특별시 서초구,-1.0
121-1-000005,방배중앙로,공영,노상,서울특별시 서초구 방배본동 760-3일대,서울특별시 서초구 방배본동 760-3일대,51,2,미시행,평일,10:00,20:00,00:00,00:00,00:00,00:00,유료,10,500,10.0,500.0,-1.0,-1.0,-1.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.495422999999995,126.98576499999999,2019-06-26,3210000,서울특별시 서초구,-1.0
121-1-000006,방배사이길 공영주차장,공영,노상,서울특별시 서초구 방배동 758-3,서울특별시 서초구 방배동 758-3,6,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,500,10.0,500.0,-1.0,-1.0,-1.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.495604,126.988703,2019-06-26,3210000,서울특별시 서초구,-1.0
121-2-000001,교대역동측,공영,노외,서울특별시 서초구 서초대로 314,서울특별시 서초구 서초1동 1673-7,29,1,미시행,평일+토요일+공휴일,09:00,23:00,09:00,23:00,00:00,23:00,유료,10,800,10.0,800.0,-1.0,-1.0,250000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7289,37.4939238,127.01597120000001,2019-06-26,3210000,서울특별시 서초구,-1.0
121-2-000002,시민의숲동측,공영,노외,서울특별시 서초구 양재2동 237,서울특별시 서초구 양재2동 237,148,2,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,00:00,21:00,유료,10,500,10.0,500.0,-1.0,-1.0,140000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7290,37.472718,127.038203,2019-06-26,3210000,서울특별시 서초구,-1.0
121-2-000003,청계산근린광장,공영,노외,서울특별시 서초구 원지동 361-6,서울특별시 서초구 원지동 361-6,89,4,미시행,평일+토요일+공휴일,09:00,21:00,09:00,21:00,00:00,21:00,유료,10,200,10.0,200.0,-1.0,-1.0,40000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7290,37.446471,127.056126,2019-06-26,3210000,서울특별시 서초구,-1.0
121-2-000004,반포서래,공영,노외,서울특별시 서초구 사평대로22길31,서울특별시 서초구 반포4동 95-13,8,3,미시행,평일+토요일,09:00,21:00,09:00,21:00,00:00,21:00,유료,10,300,10.0,300.0,-1.0,-1.0,90000.0,"현금,신용카드","국가유공 상이자 및 장애인,고엽제후유증 환자, 5·18민주 유공상이자 80프로할인, 경차·저공해자동차·다둥이(3자녀)50프로 할인, 승용차요일제·다둥이(2자녀) 30프로할인 등",서울특별시 서초구청,02-2155-7287,37.4981205,126.99780890000001,2019-06-26,3210000,서울특별시 서초구,-1.0
